row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Cơ sởhạ tầngVND,Nhà cửaVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Cơ sởhạ tầngVND,numeric__Nhà cửaVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,38.884.288.170,6.464.218.561,97.992.331.437,143.340.838.168,38884288170.0,6464218561.0,97992331437.0,143340838168.0
Chuyển sang tài sảncố định hữu hình,Nguyên giá > Chuyển sang tài sảncố định hữu hình,Chuyển sang tài sảncố định hữu hình,-,(5.994.290.197),(59.844.888.982),(65.839.179.179),,-5994290197.0,-59844888982.0,-65839179179.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,38.884.288.170,469.928.364,38.147.442.455,77.501.658.989,38884288170.0,469928364.0,38147442455.0,77501658989.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.232.303.479,5.798.297.944,44.268.832.475,54.299.433.898,4232303479.0,5798297944.0,44268832475.0,54299433898.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,793.556.898,211.744.707,2.449.490.013,3.454.791.618,793556898.0,211744707.0,2449490013.0,3454791618.0
Chuyển sang tài sảncố định hữu hình,Giá trị hao mòn lũy kế > Chuyển sang tài sảncố định hữu hình,Chuyển sang tài sảncố định hữu hình,-,(5.540.114.287),(35.679.488.163),(41.219.602.450),,-5540114287.0,-35679488163.0,-41219602450.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,5.025.860.377,469.928.364,11.038.834.325,16.534.623.066,5025860377.0,469928364.0,11038834325.0,16534623066.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,34.651.984.691,665.920.617,53.723.498.962,89.041.404.270,34651984691.0,665920617.0,53723498962.0,89041404270.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,33.858.427.793,-,27.108.608.130,60.967.035.923,33858427793.0,,27108608130.0,60967035923.0
