row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.133.459.248.563,11.856.066.907.725,876.996.558.358,575.786.071.503,15.442.308.786.149,2133459248563.0,11856066907725.0,876996558358.0,575786071503.0,15442308786149.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,37.442.211.874,364.235.222.648,33.101.146.024,53.413.060.319,488.191.640.865,37442211874.0,364235222648.0,33101146024.0,53413060319.0,488191640865.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,126.759.769.002,734.616.294.586,35.001.301.027,1.322.282.837,897.699.647.452,126759769002.0,734616294586.0,35001301027.0,1322282837.0,897699647452.0
Chuyển từ bất động sản đầu tư,Nguyên giá > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,63.784.035.554,2.055.143.625,-,-,65.839.179.179,63784035554.0,2055143625.0,,,65839179179.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(711.906.086),711.906.086,(64.200.000),64.200.000,-,-711906086.0,711906086.0,-64200000.0,64200000.0,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(9.493.756.243),(46.828.661.026),(7.428.168.889),(5.490.189.788),(69.240.775.946),-9493756243.0,-46828661026.0,-7428168889.0,-5490189788.0,-69240775946.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(20.848.514),-,-,-,(20.848.514),-20848514.0,,,,-20848514.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.351.218.754.150,12.910.856.813.644,937.606.636.520,625.095.424.871,16.824.777.629.185,2351218754150.0,12910856813644.0,937606636520.0,625095424871.0,16824777629185.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,715.654.263.635,5.304.346.921.420,425.998.481.092,410.601.017.866,6.856.600.684.013,715654263635.0,5304346921420.0,425998481092.0,410601017866.0,6856600684013.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,99.141.565.778,1.102.459.182.763,80.225.507.754,48.154.410.878,1.329.980.667.173,99141565778.0,1102459182763.0,80225507754.0,48154410878.0,1329980667173.0
Chuyển từ bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,39.325.113.984,1.894.488.466,-,-,41.219.602.450,39325113984.0,1894488466.0,,,41219602450.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(35.949.100),35.949.100,(52.965.000),52.965.000,-,-35949100.0,35949100.0,-52965000.0,52965000.0,
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(7.668.007.268),(42.154.143.015),(6.638.278.463),(5.479.562.755),(61.939.991.501),-7668007268.0,-42154143015.0,-6638278463.0,-5479562755.0,-61939991501.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(20.848.514),-,-,-,(20.848.514),-20848514.0,,,,-20848514.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,846.396.138.515,6.366.582.398.734,499.532.745.383,453.328.830.989,8.165.840.113.621,846396138515.0,6366582398734.0,499532745383.0,453328830989.0,8165840113621.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.417.804.984.928,6.551.719.986.305,450.998.077.266,165.185.053.637,8.585.708.102.136,1417804984928.0,6551719986305.0,450998077266.0,165185053637.0,8585708102136.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.504.822.615.635,6.544.274.414.910,438.073.891.137,171.766.593.882,8.658.937.515.564,1504822615635.0,6544274414910.0,438073891137.0,171766593882.0,8658937515564.0
