row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữuVND,Thặng dư vốn cổ phầnVND,Cổ phiếu quỹVND,Quỹ dự trữ bổ sung vốn điều lệVND,Quỹ dự phòng tài chính và rủi ro nghiệp vụVND,Quỹ khác thuộc vốn chủ sở hữuVND,Lợi nhuận chưa phân phốiVND,Tổng cộngVND,numeric__Vốn góp của chủ sở hữuVND,numeric__Thặng dư vốn cổ phầnVND,numeric__Cổ phiếu quỹVND,numeric__Quỹ dự trữ bổ sung vốn điều lệVND,numeric__Quỹ dự phòng tài chính và rủi ro nghiệp vụVND,numeric__Quỹ khác thuộc vốn chủ sở hữuVND,numeric__Lợi nhuận chưa phân phốiVND,numeric__Tổng cộngVND
Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,3.805.931.180.000,,- (753.511.600),69.328.039.314,69.318.055.214,1.625.982.305,539.582.702.224,4.485.032.447.457,3805931180000.0,,,69328039314.0,69318055214.0,1625982305.0,539582702224.0,4485032447457.0
Lợi nhuận sau thuế Phát hành cổ phiếu thường,Lợi nhuận sau thuế Phát hành cổ phiếu thường,Lợi nhuận sau thuế Phát hành cổ phiếu thường,-,,-,-,-,-,584.016.390.331,584.016.390.331,,,,,,,584016390331.0,584016390331.0
Lợi nhuận sau thuế Phát hành cổ phiếu thường,Lợi nhuận sau thuế Phát hành cổ phiếu thường,Lợi nhuận sau thuế Phát hành cổ phiếu thường,570.768.750.000,,-,(69.328.039.314),(44.801.290.686),,(456.639.420.000),-,570768750000.0,,,-69328039314.0,-44801290686.0,,-456639420000.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,,-,-,-,-,(30.852.339.194),(30.852.339.194),,,,,,,-30852339194.0,-30852339194.0
Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,4.376.699.930.000,,- (753.511.600),,24.516.764.528,1.625.982.305,636.107.333.361,5.038.196.498.594,4376699930000.0,,,,24516764528.0,1625982305.0,636107333361.0,5038196498594.0
Lợi nhuận sau thuế Bán cổ phiếu quỹ Chia cổ tức bằng tiền Phát hành cổ phiếu cho cổ đông hiện hữu Phát hành cổ phiếu cho nhà đầu tư chứng khoán chuyên nghiệp Trích quỹ khen thưởng phúc lợi (*),Lợi nhuận sau thuế Bán cổ phiếu quỹ Chia cổ tức bằng tiền Phát hành cổ phiếu cho cổ đông hiện hữu Phát hành cổ phiếu cho nhà đầu tư chứng khoán chuyên nghiệp Trích quỹ khen thưởng phúc lợi (*),Lợi nhuận sau thuế Bán cổ phiếu quỹ Chia cổ tức bằng tiền Phát hành cổ phiếu cho cổ đông hiện hữu Phát hành cổ phiếu cho nhà đầu tư chứng khoán chuyên nghiệp Trích quỹ khen thưởng phúc lợi (*),-,,- 9.901.273,,-,-,743.553.182.565,743.553.182.565 9.901.273,,,-9901273.0,,,,743553182565.0,
Lợi nhuận sau thuế Bán cổ phiếu quỹ Chia cổ tức bằng tiền Phát hành cổ phiếu cho cổ đông hiện hữu Phát hành cổ phiếu cho nhà đầu tư chứng khoán chuyên nghiệp Trích quỹ khen thưởng phúc lợi (*),Lợi nhuận sau thuế Bán cổ phiếu quỹ Chia cổ tức bằng tiền Phát hành cổ phiếu cho cổ đông hiện hữu Phát hành cổ phiếu cho nhà đầu tư chứng khoán chuyên nghiệp Trích quỹ khen thưởng phúc lợi (*),Lợi nhuận sau thuế Bán cổ phiếu quỹ Chia cổ tức bằng tiền Phát hành cổ phiếu cho cổ đông hiện hữu Phát hành cổ phiếu cho nhà đầu tư chứng khoán chuyên nghiệp Trích quỹ khen thưởng phúc lợi (*),-,,-,-,-,-,(525.167.942.400),(525.167.942.400),,,,,,,-525167942400.0,-525167942400.0
Lợi nhuận sau thuế Bán cổ phiếu quỹ Chia cổ tức bằng tiền Phát hành cổ phiếu cho cổ đông hiện hữu Phát hành cổ phiếu cho nhà đầu tư chứng khoán chuyên nghiệp Trích quỹ khen thưởng phúc lợi (*),Lợi nhuận sau thuế Bán cổ phiếu quỹ Chia cổ tức bằng tiền Phát hành cổ phiếu cho cổ đông hiện hữu Phát hành cổ phiếu cho nhà đầu tư chứng khoán chuyên nghiệp Trích quỹ khen thưởng phúc lợi (*),Lợi nhuận sau thuế Bán cổ phiếu quỹ Chia cổ tức bằng tiền Phát hành cổ phiếu cho cổ đông hiện hữu Phát hành cổ phiếu cho nhà đầu tư chứng khoán chuyên nghiệp Trích quỹ khen thưởng phúc lợi (*),1.094.099.880.000,,-,-,-,-,-,1.094.099.880.000,1094099880000.0,,,,,,,1094099880000.0
Lợi nhuận sau thuế Bán cổ phiếu quỹ Chia cổ tức bằng tiền Phát hành cổ phiếu cho cổ đông hiện hữu Phát hành cổ phiếu cho nhà đầu tư chứng khoán chuyên nghiệp Trích quỹ khen thưởng phúc lợi (*),Lợi nhuận sau thuế Bán cổ phiếu quỹ Chia cổ tức bằng tiền Phát hành cổ phiếu cho cổ đông hiện hữu Phát hành cổ phiếu cho nhà đầu tư chứng khoán chuyên nghiệp Trích quỹ khen thưởng phúc lợi (*),Lợi nhuận sau thuế Bán cổ phiếu quỹ Chia cổ tức bằng tiền Phát hành cổ phiếu cho cổ đông hiện hữu Phát hành cổ phiếu cho nhà đầu tư chứng khoán chuyên nghiệp Trích quỹ khen thưởng phúc lợi (*),257.330.000.000,335.558.320.000,,-,-,-,-,592.888.320.000,257330000000.0,335558320000.0,,,,,,592888320000.0
Lợi nhuận sau thuế Bán cổ phiếu quỹ Chia cổ tức bằng tiền Phát hành cổ phiếu cho cổ đông hiện hữu Phát hành cổ phiếu cho nhà đầu tư chứng khoán chuyên nghiệp Trích quỹ khen thưởng phúc lợi (*),Lợi nhuận sau thuế Bán cổ phiếu quỹ Chia cổ tức bằng tiền Phát hành cổ phiếu cho cổ đông hiện hữu Phát hành cổ phiếu cho nhà đầu tư chứng khoán chuyên nghiệp Trích quỹ khen thưởng phúc lợi (*),Lợi nhuận sau thuế Bán cổ phiếu quỹ Chia cổ tức bằng tiền Phát hành cổ phiếu cho cổ đông hiện hữu Phát hành cổ phiếu cho nhà đầu tư chứng khoán chuyên nghiệp Trích quỹ khen thưởng phúc lợi (*),-,,-,-,-,-,(35.040.983.420),(35.040.983.420),,,,,,,-35040983420.0,-35040983420.0
Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,5.728.129.810.000,335.558.320.000,(743.610.327),,24.516.764.528,1.625.982.305,819.451.590.106,6.908.538.856.612,5728129810000.0,335558320000.0,-743610327.0,,24516764528.0,1625982305.0,819451590106.0,6908538856612.0
