row_label_raw,row_label_full,"Phải thu cổ tức, tiền lãi đến ngày nhận",31/12/2024VND > 29.172.766.557,31/12/2023VND > 18.938.175.105,numeric__31/12/2024VND > 29.172.766.557,numeric__31/12/2023VND > 18.938.175.105
Phải thu cổ tức,Phải thu cổ tức,Phải thu cổ tức,227.055.000,164.044.000,227055000.0,164044000.0
Phải thu lãi cho vay margin,Phải thu lãi cho vay margin,Phải thu lãi cho vay margin,28.945.711.557,18.774.131.105,28945711557.0,18774131105.0
"Các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính chưa đến ngày nhận","Các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính chưa đến ngày nhận","Các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính chưa đến ngày nhận",202.062.150.332,212.607.346.525,202062150332.0,212607346525.0
Dự thu lãi trái phiếu,Dự thu lãi trái phiếu,Dự thu lãi trái phiếu,142.787.895.211,78.772.936.410,142787895211.0,78772936410.0
Dự thu lãi tiền gửi có kỳ hạn,Dự thu lãi tiền gửi có kỳ hạn,Dự thu lãi tiền gửi có kỳ hạn,59.274.255.121,133.834.410.115,59274255121.0,133834410115.0
,,,231.234.916.889,231.545.521.630,231234916889.0,231545521630.0
