row_label_raw,row_label_full,col_0,col_1,Mã số,Thuyết minh,31/12/2024 VND,31/12/2023 VND,numeric__col_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024 VND,numeric__31/12/2023 VND
5.,5.,5.,Tài sản tài chính chưa lưu ký tại VSDC của Nhà đầu tư,024.b,31(i),858.240.000,858.240.000,,,,858240000.0,858240000.0
7.,7.,7.,Tiền gửi của khách hàng,026,,3.358.932.288.854,4.232.508.528.453,,26.0,,3358932288854.0,4232508528453.0
7.1.,7.1.,7.1.,Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức công ty chứng khoán quản lý,027,31(j),2.910.908.869.249,3.897.146.498.014,,27.0,,2910908869249.0,3897146498014.0
7.1.a,7.1.a,7.1.a,Tiền gửi ký quỹ của Nhà đầu tư tại VSDC,027.1,31(j),270.501.223.230,133.652.638.234,,271.0,,270501223230.0,133652638234.0
7.2,7.2,7.2,Tiền gửi tổng hợp giao dịch chứng khoán cho khách hàng,028,31(j),171.589.439.729,192.365.811.559,,28.0,,171589439729.0,192365811559.0
7.4.,7.4.,7.4.,Tiền gửi của Tổ chức phát hành chứng khoán,030,31(k),5.932.756.646,9.343.580.646,,30.0,,5932756646.0,9343580646.0
8.,8.,8.,Phải trả của Nhà đầu tư về tiền gửi giao dịch chứng khoán theo phương thức công ty chứng khoán quản lý,031,31(l),3.352.999.532.208,4.223.164.947.807,,31.0,,3352999532208.0,4223164947807.0
8.1.,8.1.,8.1.,Phải trả của Nhà đầu tư trong nước về tiền gửi giao dịch chứng khoán theo phương thức công ty chứng khoán quản lý,031.1,,3.307.745.085.493,4.169.044.841.594,,311.0,,3307745085493.0,4169044841594.0
8.2.,8.2.,8.2.,Phải trả của Nhà đầu tư nước ngoài về tiền gửi giao dịch chứng khoán theo phương thức công ty chứng khoán quản lý,031.2,,45.254.446.715,54.120.106.213,,312.0,,45254446715.0,54120106213.0
9.,9.,9.,Phải trả của Tổ chức phát hành chứng khoán,032,31(m),5.807.238.364,9.218.062.364,,32.0,,5807238364.0,9218062364.0
12.,12.,12.,"Phải trả cổ tức, gốc và lãi trái phiếu",035,31(n),125.518.282,125.518.282,,35.0,,125518282.0,125518282.0
