row_label_raw,row_label_full,col_0,col_1,Mã số,Thuyết minh,Năm 2024 VND,Năm 2023 VND,numeric__col_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2024 VND,numeric__Năm 2023 VND
I.,I.,I.,DOANH THU HOẠT ĐỘNG,DOANH THU HOẠT ĐỘNG,DOANH THU HOẠT ĐỘNG,DOANH THU HOẠT ĐỘNG,DOANH THU HOẠT ĐỘNG,,,,,
1.1.,I. > 1.1.,1.1.,"Lãi từ các tài sản tài chính ghi nhận thông qua lãi(lỗ) (""FVTPL"")",01,,983.233.565.283,140.863.659.943,,1.0,,983233565283.0,140863659943.0
a.,I. > a.,a.,Lãi từ bán các tài sản tài chính FVTPL,01.1,32,970.676.311.987,130.371.121.731,,11.0,32.0,970676311987.0,130371121731.0
b.,I. > b.,b.,Chênh lệch tăng về đánh giá lại các tài sản tài chính FVTPL,01.2,34,9.815.531.028,10.115.139.519,,12.0,34.0,9815531028.0,10115139519.0
c.,I. > c.,c.,"Cổ tức, tiến lãi phát sinh từ tài sản tài chính FVTPL",01.3,35(a),2.708.649.200,374.770.890,,13.0,,2708649200.0,374770890.0
d.,I. > d.,d.,Chênh lệch giảm về đánh giá lại chứng quyền,01.4,34,33.073.068,2.627.803,,14.0,34.0,33073068.0,2627803.0
1.2.,I. > 1.2.,1.2.,Lãi từ các khoản đầu tư nằm giữ đến ngày đáo hạn,02,35(b),181.719.364.918,180.795.295.137,,2.0,,181719364918.0,180795295137.0
1.3.,I. > 1.3.,1.3.,Lãi từ các khoản cho vay và phải thu,03,35(c),1.056.131.145.711,664.739.708.137,,3.0,,1056131145711.0,664739708137.0
1.4.,I. > 1.4.,1.4.,Lãi từ các tài sản tài chính sẵn sàng để bán,04,35(d),174.889.281.414,149.791.280.718,,4.0,,174889281414.0,149791280718.0
1.6.,I. > 1.6.,1.6.,Doanh thu nghiệp vụ môi giới chứng khoán,06,36,628.154.571.742,614.616.030.508,,6.0,36.0,628154571742.0,614616030508.0
1.7.,I. > 1.7.,1.7.,"Doanh thu nghiệp vụ bảo lãnh, đại lý phát hành chứng khoán",07,,200.000.000,-,,7.0,,200000000.0,
1.9.,I. > 1.9.,1.9.,Doanh thu nghiệp vụ lưu ký chứng khoán,09,,28.817.061.958,21.420.350.180,,9.0,,28817061958.0,21420350180.0
1.10.,I. > 1.10.,1.10.,Doanh thu hoạt động tư vấn tài chính,10,37,25.597.143.800,17.213.525.000,,10.0,37.0,25597143800.0,17213525000.0
1.11.,I. > 1.11.,1.11.,Thu nhập hoạt động khác,11,38,41.625.341.201,26.518.904.285,,11.0,38.0,41625341201.0,26518904285.0
,,,Cộng doanh thu hoạt động,20,,3.120.367.476.027,1.815.958.753.908,,20.0,,3120367476027.0,1815958753908.0
II.,II.,II.,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,,,,,
2.1.,II. > 2.1.,2.1.,Lỗ các tài sản tài chính ghi nhận thông qua lãi(lỗ),21,,797.146.221.181,31.082.486.054,,21.0,,797146221181.0,31082486054.0
a.,II. > a.,a.,Lỗ từ bán các tài sản tài chính FVTPL,21.1,33,794.146.495.404,30.579.771.037,,211.0,33.0,794146495404.0,30579771037.0
b.,II. > b.,b.,Chênh lệch giảm đánh giá lại các tài sản tài chính FVTPL,21.2,34,(35.991.852),(711.158.025),,212.0,34.0,-35991852.0,-711158025.0
c.,II. > c.,c.,Chi phí giao dịch mua các tài sản tài chính FVTPL,21.3,,2.789.095.217,1.204.838.699,,213.0,,2789095217.0,1204838699.0
d.,II. > d.,d.,Chênh lệch tăng về đánh giá lại chứng quyền,21.4,,246.622.412,9.034.343,,214.0,,246622412.0,9034343.0
2.4.,II. > 2.4.,2.4.,"Chi phí dự phòng tài sản tài chính, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm tài sản tài chính và chi phí đi vay",24,39,43.620.280.002,7.494.275.464,,24.0,39.0,43620280002.0,7494275464.0
2.6,II. > 2.6,2.6,Chi phí hoạt động tư doanh,26,40,15.632.447.259,25.632.759.929,,26.0,40.0,15632447259.0,25632759929.0
2.7.,II. > 2.7.,2.7.,Chi phí nghiệp vụ môi giới chứng khoán,27,41,517.456.606.990,479.006.017.680,,27.0,41.0,517456606990.0,479006017680.0
2.8,II. > 2.8,2.8,Chi phí nghiệp vụ bảo lãnh đại lý phát hành chứng khoán,28,,1.499.988,18.571.699,,28.0,,1499988.0,18571699.0
