row_label_raw,row_label_full,col_0,Máy móc thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Máy móc thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,294.693.828.099,5.087.478.635,9.031.487.555,308.812.794.289,294693828099.0,5087478635.0,9031487555.0,308812794289.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,44.841.425,5.435.320.000,326.826.000,5.806.987.425,44841425.0,5435320000.0,326826000.0,5806987425.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(1.146.800.000),-,(1.146.800.000),,-1146800000.0,,-1146800000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,294.738.669.524,9.375.998.635,9.358.313.555,313.472.981.714,294738669524.0,9375998635.0,9358313555.0,313472981714.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,135.247.163.705,3.442.509.272,7.710.453.651,146.400.126.628,135247163705.0,3442509272.0,7710453651.0,146400126628.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,39.301.874.793,1.271.383.171,926.790.709,41.500.048.673,39301874793.0,1271383171.0,926790709.0,41500048673.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(1.146.800.000),-,(1.146.800.000),,-1146800000.0,,-1146800000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,174.549.038.498,3.567.092.443,8.637.244.360,186.753.375.301,174549038498.0,3567092443.0,8637244360.0,186753375301.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,159.446.664.394,1.644.969.363,1.321.033.904,162.412.667.661,159446664394.0,1644969363.0,1321033904.0,162412667661.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,120.189.631.026,5.808.906.192,721.069.195,126.719.606.413,120189631026.0,5808906192.0,721069195.0,126719606413.0
