row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm 2024 VND,Năm 2023 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2024 VND,numeric__Năm 2023 VND
II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
"1. Tiền chi mua sắm, xây dựng tài sản cố định","II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chi mua sắm, xây dựng tài sản cố định","1. Tiền chi mua sắm, xây dựng tài sản cố định",61,,(9.801.226.425),(73.089.860.121),61.0,,-9801226425.0,-73089860121.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ, BĐSDT và các tài sản khác","II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu từ thanh lý, nhượng bán TSCĐ, BĐSDT và các tài sản khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ, BĐSDT và các tài sản khác",62,,386.818.182,66.462.148,62.0,,386818182.0,66462148.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,70,,(9.414.408.243),(73.023.397.973),70.0,,-9414408243.0,-73023397973.0
III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",71,,1.686.988.200.000,-,71.0,,1686988200000.0,
3. Tiền vay gốc,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Tiền vay gốc,3. Tiền vay gốc,73,,38.636.046.556.035,52.639.893.836.214,73.0,,38636046556035.0,52639893836214.0
3.2. Tiền vay khác,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3.2. Tiền vay khác,3.2. Tiền vay khác,73.2,,38.636.046.556.035,52.639.893.836.214,732.0,,38636046556035.0,52639893836214.0
4. Tiền chi trả nợ gốc vay,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4. Tiền chi trả nợ gốc vay,4. Tiền chi trả nợ gốc vay,74,,(34.509.687.440.008),(48.438.873.853.521),74.0,,-34509687440008.0,-48438873853521.0
4.3. Tiền chi trả gốc vay khác,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4.3. Tiền chi trả gốc vay khác,4.3. Tiền chi trả gốc vay khác,74.3,,(34.509.687.440.008),(48.438.873.853.521),743.0,,-34509687440008.0,-48438873853521.0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",76,,(524.208.536.493),-,76.0,,-524208536493.0,
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,80,,5.289.138.779.534,4.201.019.982.693,80.0,,5289138779534.0,4201019982693.0
IV. Lưu chuyển tiền thuần trong năm (90 = 60 + 70 + 80),III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > IV. Lưu chuyển tiền thuần trong năm (90 = 60 + 70 + 80),IV. Lưu chuyển tiền thuần trong năm (90 = 60 + 70 + 80),90,,1.202.294.551.660,376.313.404.123,90.0,,1202294551660.0,376313404123.0
V. Tiền và các khoản tương đương tiền đầu năm,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > V. Tiền và các khoản tương đương tiền đầu năm,V. Tiền và các khoản tương đương tiền đầu năm,101,,571.249.283.464,194.935.879.341,101.0,,571249283464.0,194935879341.0
