row_label_raw,row_label_full,col_0,Giá trị ghi số > 31/12/2024VND,Giá trị ghi số > 31/12/2023VND,numeric__Giá trị ghi số > 31/12/2024VND,numeric__Giá trị ghi số > 31/12/2023VND
Tài sản tài chính ngắn hạn,Tài sản tài chính ngắn hạn,Tài sản tài chính ngắn hạn,Tài sản tài chính ngắn hạn,Tài sản tài chính ngắn hạn,,
Tiền và các khoản tương đương tiền,Tài sản tài chính ngắn hạn > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.773.543.835.124,571.249.283.464,1773543835124.0,571249283464.0
Tài sản tài chính ghi nhận thông qua lãi/(lỗ),Tài sản tài chính ngắn hạn > Tài sản tài chính ghi nhận thông qua lãi/(lỗ),Tài sản tài chính ghi nhận thông qua lãi/(lỗ),1.746.355.135.567,989.973.830.991,1746355135567.0,989973830991.0
Các khoản đầu tư nắm giữ đến ngày đáo hạn,Tài sản tài chính ngắn hạn > Các khoản đầu tư nắm giữ đến ngày đáo hạn,Các khoản đầu tư nắm giữ đến ngày đáo hạn,4.994.512.493.078,2.322.623.532.176,4994512493078.0,2322623532176.0
Các khoản cho vay,Tài sản tài chính ngắn hạn > Các khoản cho vay,Các khoản cho vay,10.293.729.065.183,9.218.483.030.175,10293729065183.0,9218483030175.0
Tài sản tài chính sẵn sàng để bán,Tài sản tài chính ngắn hạn > Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,2.588.404.505.218,1.143.592.675.080,2588404505218.0,1143592675080.0
Tài sản tài chính dài hạn,Tài sản tài chính dài hạn,Tài sản tài chính dài hạn,Tài sản tài chính dài hạn,Tài sản tài chính dài hạn,,
Các khoản đầu tư nắm giữ đến ngày đáo hạn,Tài sản tài chính dài hạn > Các khoản đầu tư nắm giữ đến ngày đáo hạn,Các khoản đầu tư nắm giữ đến ngày đáo hạn,-,327.320.000.000,,327320000000.0
Tiền nộp Quỹ Hồ trợ thanh toán,Tài sản tài chính dài hạn > Tiền nộp Quỹ Hồ trợ thanh toán,Tiền nộp Quỹ Hồ trợ thanh toán,20.000.000.000,20.000.000.000,20000000000.0,20000000000.0
,,,21.416.545.034.170,14.593.242.351.886,21416545034170.0,14593242351886.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,
Vay ngắn hạn,Nợ phải trả tài chính > Vay ngắn hạn,Vay ngắn hạn,13.069.703.217.309,9.598.508.546.852,13069703217309.0,9598508546852.0
Trái phiếu phát hành dài hạn,Nợ phải trả tài chính > Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,1.061.355.556.681,406.191.111.111,1061355556681.0,406191111111.0
,,,14.131.058.773.990,10.004.699.657.963,14131058773990.0,10004699657963.0
