row_label_raw,row_label_full,col_0,Môi giới và dịch vụ khách hàng VND,Tự doanh VND,Ngân hàng đầu tư VND,Các bộ phận khác VND,Tổng cộng VND,numeric__Môi giới và dịch vụ khách hàng VND,numeric__Tự doanh VND,numeric__Ngân hàng đầu tư VND,numeric__Các bộ phận khác VND,numeric__Tổng cộng VND
Doanh thu thuần hoạt động kinh doanh chứng khoán,Doanh thu thuần hoạt động kinh doanh chứng khoán,Doanh thu thuần hoạt động kinh doanh chứng khoán,1.300.776.088.825(499.247.018.321),471.450.235.798(64.209.521.447),17.213.525.000(8.106.558.117),36.953.669.426(419.311.614),1.826.393.519.049(571.982.409.499),,,,,
Các chi phí trực tiếp,Doanh thu thuần hoạt động kinh doanh chứng khoán > Các chi phí trực tiếp,Các chi phí trực tiếp,(265.366.407.997),(96.178.778.729),(3.511.666.103),(7.538.778.274),(372.595.631.103),-265366407997.0,-96178778729.0,-3511666103.0,-7538778274.0,-372595631103.0
Chi phí tài chính,Doanh thu thuần hoạt động kinh doanh chứng khoán > Chi phí tài chính,Chi phí tài chính,(2.291.576.604),(830.553.652),(30.325.059),(65.101.261),(3.217.556.576),-2291576604.0,-830553652.0,-30325059.0,-65101261.0,-3217556576.0
Chi phí bán hàng,Doanh thu thuần hoạt động kinh doanh chứng khoán > Chi phí bán hàng,Chi phí bán hàng,(115.699.352.910),(41.933.802.197),(1.531.081.115),(3.286.895.936),(162.451.132.158),-115699352910.0,-41933802197.0,-1531081115.0,-3286895936.0,-162451132158.0
Lợi nhuận thuần từ hoạt động kinh doanh trước thuế,Doanh thu thuần hoạt động kinh doanh chứng khoán > Lợi nhuận thuần từ hoạt động kinh doanh trước thuế,Lợi nhuận thuần từ hoạt động kinh doanh trước thuế,418.171.732.993,268.297.579.773,4.033.894.606,25.643.582.341,716.146.789.713,418171732993.0,268297579773.0,4033894606.0,25643582341.0,716146789713.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,,,,,
,,,Môi giới và dịch vụ khách hàng VND,Tự doanh VND,Ngân hàng đầu tư VND,Các bộ phận khác VND,Tổng cộng VND,,,,,
Tài sản bộ phận,Tại ngày 31 tháng 12 năm 2023 > Tài sản bộ phận,Tài sản bộ phận,5.056.543.467.606,9.226.668.063.108,327.320.000.000,22.601.741.173,14.633.133.271.887,5056543467606.0,9226668063108.0,327320000000.0,22601741173.0,14633133271887.0
Tài sản phân bổ,Tại ngày 31 tháng 12 năm 2023 > Tài sản phân bổ,Tài sản phân bổ,178.625.179.847,492.843.878.663,6.521.937.557,14.001.172.014,691.992.168.081,178625179847.0,492843878663.0,6521937557.0,14001172014.0,691992168081.0
,,,5.235.168.647.453,9.719.511.941.771,333.841.937.557,36.602.913.187,15.325.125.439.968,5235168647453.0,9719511941771.0,333841937557.0,36602913187.0,15325125439968.0
Nợ phải trả bộ phân,Tại ngày 31 tháng 12 năm 2023 > Nợ phải trả bộ phân,Nợ phải trả bộ phân,18.421.541.155,14.556.093.607,-,-,32.977.634.762,18421541155.0,14556093607.0,,,32977634762.0
Nợ phải trả phân bổ,Tại ngày 31 tháng 12 năm 2023 > Nợ phải trả phân bổ,Nợ phải trả phân bổ,2.646.870.847.352,7.302.968.684.734,96.642.177.781,207.469.596.745,10.253.951.306.612,2646870847352.0,7302968684734.0,96642177781.0,207469596745.0,10253951306612.0
,,,2.665.292.388.507,7.317.524.778.341,96.642.177.781,207.469.596.745,10.286.928.941.374,2665292388507.0,7317524778341.0,96642177781.0,207469596745.0,10286928941374.0
