row_label_raw,row_label_full,CHÍ TIÊU,CHÍ TIÊU_1,Số dư đầu năm > 1/1/2023VND,Số dư đầu năm > 1/1/2024VND,Năm 2023 > TăngVND,Số tăng/(giảm) > (Giảm)VND,Số tăng/(giảm) > TăngVND,Số tăng/(giảm) > (Giảm)VND_1,Số dư cuối năm > 31/12/2023VND,Số dư cuối năm > 31/12/2024VND,numeric__CHÍ TIÊU_1,numeric__Số dư đầu năm > 1/1/2023VND,numeric__Số dư đầu năm > 1/1/2024VND,numeric__Năm 2023 > TăngVND,numeric__Số tăng/(giảm) > (Giảm)VND,numeric__Số tăng/(giảm) > TăngVND,numeric__Số tăng/(giảm) > (Giảm)VND_1,numeric__Số dư cuối năm > 31/12/2023VND,numeric__Số dư cuối năm > 31/12/2024VND
I.,I.,I.,Biến động vốn chủ sở hữu,,,,,,,,,,,,,,,,,
1.,I. > 1.,1.,Vốn đầu tư củachù sở hữu,3.805.177.668.400,4.375.946.418.400,570.768.750.000,-,1.686.998.101.273,-,4.375.948.418.400,6.062.944.519.673,,3805177668400.0,4375946418400.0,570768750000.0,,1686998101273.0,,4375948418400.0,6062944519673.0
1.1.,I. > 1.1.,1.1.,Cổ phiếu phổ thông,3.805.931.180.000,4.376.699.930.000,570.768.750.000,-,1.351.429.880.000,-,4.376.699.930.000,5.728.129.810.000,,3805931180000.0,4376699930000.0,570768750000.0,,1351429880000.0,,4376699930000.0,5728129810000.0
1.2.,I. > 1.2.,1.2.,Cổ phiếu quỹ,(753.511.600),(753.511.600),-,-,9.901.273,-,(753.511.600),(743.610.327),,-753511600.0,-753511600.0,,,9901273.0,,-753511600.0,-743610327.0
1.3.,I. > 1.3.,1.3.,Thặng dư vốn cóphần,-,-,-,-,335.558.320.000,-,-,335.558.320.000,,,,,,335558320000.0,,,335558320000.0
3.,I. > 3.,3.,Quỹ dự trữ bổ sungvốn điều lệ,69.328.039.314,-,-,69.328.039.314,-,-,-,-,,69328039314.0,,,69328039314.0,,,,
4.,I. > 4.,4.,Quỹ dự phòng tàichính và rủi ronghiệp vụ,69.318.055.214,24.516.764.528,-,44.801.290.686,-,-,24.516.764.528,24.516.764.528,,69318055214.0,24516764528.0,,44801290686.0,,,24516764528.0,24516764528.0
7.,I. > 7.,7.,Các quỹ khác thuộcvốn chủ sở hữu,1.625.982.305,1.625.982.305,-,-,-,-,1.625.982.305,1.625.982.305,,1625982305.0,1625982305.0,,,,,1625982305.0,1625982305.0
8.,I. > 8.,8.,Lợi nhuậnchưa phân phối,539.582.702.224,636.107.333.361,588.351.523.498,491.826.892.361,743.553.182.565,560.208.925.820,636.107.333.361,819.451.590.106,,539582702224.0,636107333361.0,588351523498.0,491826892361.0,743553182565.0,560208925820.0,636107333361.0,819451590106.0
8.1.,I. > 8.1.,8.1.,Lợi nhuận đã thực hiện,541.617.289.913,618.419.678.969,564.294.148.250,487.491.759.194,731.106.966.726,560.208.925.820,618.419.678.969,789.317.719.875,,541617289913.0,618419678969.0,564294148250.0,487491759194.0,731106966726.0,560208925820.0,618419678969.0,789317719875.0
8.2.,I. > 8.2.,8.2.,Lợi nhuận/(lỗ) churathực hiện,(2.034.587.669),17.687.654.392,24.057.375.248,4.335.133.167,12.446.215.839,-,17.687.654.392,30.133.870.231,,-2034587669.0,17687654392.0,24057375248.0,4335133167.0,12446215839.0,,17687654392.0,30133870231.0
,,,TỔNG CỘNG,4.485.032.447.457,5.038.196.498.594,1.159.120.273.498,605.956.222.361,2.430.551.283.838,560.208.925.820,5.038.196.498.594,6.908.538.856.612,,4485032447457.0,5038196498594.0,1159120273498.0,605956222361.0,2430551283838.0,560208925820.0,5038196498594.0,6908538856612.0
