row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Giá trị ghi sổVND,Dòng tiền theo hợp đồngVND,Trong vòng1 nămVND,Trong vòng2-5 nămVND,numeric__Giá trị ghi sổVND,numeric__Dòng tiền theo hợp đồngVND,numeric__Trong vòng1 nămVND,numeric__Trong vòng2-5 nămVND
Vay ngắn hạn (*),Vay ngắn hạn (*),Vay ngắn hạn (*),13.069.703.217.309,13.434.655.350.989,13.434.655.350.989,-,13069703217309.0,13434655350989.0,13434655350989.0,
Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,21.551.998.147,21.551.998.147,21.551.998.147,-,21551998147.0,21551998147.0,21551998147.0,
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,11.493.708.210,11.493.708.210,11.493.708.210,-,11493708210.0,11493708210.0,11493708210.0,
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,165.344.593.730,165.344.593.730,165.344.593.730,-,165344593730.0,165344593730.0,165344593730.0,
Trái phiếu phát hành dài hạn (*),Trái phiếu phát hành dài hạn (*),Trái phiếu phát hành dài hạn (*),1.061.355.556.681,1.286.539.909.563,74.516.400.000,1.212.023.509.563,1061355556681.0,1286539909563.0,74516400000.0,1212023509563.0
"Các khoản phải trả, phải nộp khác ngắn hạn","Các khoản phải trả, phải nộp khác ngắn hạn","Các khoản phải trả, phải nộp khác ngắn hạn",14.530.406.797,14.530.406.797,14.530.406.797,-,14530406797.0,14530406797.0,14530406797.0,
,,,14.343.979.480.874,14.934.115.967.436,13.722.092.457.873,1.212.023.509.563,14343979480874.0,14934115967436.0,13722092457873.0,1212023509563.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Giá trị ghi sổVND,Dòng tiền theo hợp đồngVND,Trong vòng1 nămVND,Trong vòng2-5 nămVND,,,,
Vay ngắn hạn (*),Tại ngày 31 tháng 12 năm 2023 > Vay ngắn hạn (*),Vay ngắn hạn (*),9.598.508.546.852,9.756.281.602.261,9.756.281.602.261,-,9598508546852.0,9756281602261.0,9756281602261.0,
Phải trả hoạt động giao dịch chứng khoán,Tại ngày 31 tháng 12 năm 2023 > Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,14.556.093.607,14.556.093.607,14.556.093.607,-,14556093607.0,14556093607.0,14556093607.0,
Phải trả người bán ngắn hạn,Tại ngày 31 tháng 12 năm 2023 > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,16.250.539.155,16.250.539.155,16.250.539.155,-,16250539155.0,16250539155.0,16250539155.0,
Chi phí phải trả ngắn hạn,Tại ngày 31 tháng 12 năm 2023 > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,98.478.625.384,98.478.625.384,98.478.625.384,-,98478625384.0,98478625384.0,98478625384.0,
Trái phiếu phát hành dài hạn (*),Tại ngày 31 tháng 12 năm 2023 > Trái phiếu phát hành dài hạn (*),Trái phiếu phát hành dài hạn (*),406.191.111.111,524.856.813.151,29.628.800.000,495.228.013.151,406191111111.0,524856813151.0,29628800000.0,495228013151.0
"Các khoản phải trả, phải nộp khác ngắn hạn","Tại ngày 31 tháng 12 năm 2023 > Các khoản phải trả, phải nộp khác ngắn hạn","Các khoản phải trả, phải nộp khác ngắn hạn",4.828.606.935,4.828.606.935,4.828.606.935,-,4828606935.0,4828606935.0,4828606935.0,
,,,10.138.813.523.044,10.415.252.280.493,9.920.024.267.342,495.228.013.151,10138813523044.0,10415252280493.0,9920024267342.0,495228013151.0
