row_label_raw,row_label_full,Danh mục các khoản đầu tư,Số lượng bán > Đơn vị,Tổng giá trị bán > VND,Tổng giá vốn > VND,Lỗ bán chứng khoán trong năm VND,numeric__Số lượng bán > Đơn vị,numeric__Tổng giá trị bán > VND,numeric__Tổng giá vốn > VND,numeric__Lỗ bán chứng khoán trong năm VND
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,4.199.226,147.461.018.461,152.967.957.535,5.506.939.074,4199226.0,147461018461.0,152967957535.0,5506939074.0
Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,522.486.317,52.128.948.808.579,52.912.622.243.666,783.673.435.087,522486317.0,52128948808579.0,52912622243666.0,783673435087.0
Trái phiếu niêm yết,Trái phiếu niêm yết,Trái phiếu niêm yết,134.000.000,15.056.824.510.000,15.061.672.182.673,4.847.672.673,134000000.0,15056824510000.0,15061672182673.0,4847672673.0
Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,26,2.628.725.480,2.664.210.603,35.485.123,26.0,2628725480.0,2664210603.0,35485123.0
Chứng quyền có bảo đảm,Chứng quyền có bảo đảm,Chứng quyền có bảo đảm,1.103.000,1.323.844.802,1.399.879.000,76.034.198,1103000.0,1323844802.0,1399879000.0,76034198.0
Đáo hạn chứng quyền,Đáo hạn chứng quyền,Đáo hạn chứng quyền,231.400,-,-,6.929.249,231400.0,,,6929249.0
,,,662.019.969,67.337.186.907.322,68.131.326.473.477,794.146.495.404,662019969.0,67337186907322.0,68131326473477.0,794146495404.0
Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,,,,
Danh mục các khoản đầu tư,Danh mục các khoản đầu tư,Danh mục các khoản đầu tư,Số lượng bán,Tổng giá trị bán,Tổng giá vốn,Lỗ bán chứng khoán trong năm VND,,,,
Danh mục các khoản đầu tư,Danh mục các khoản đầu tư,Danh mục các khoản đầu tư,Đơn vị,VND,VND,Lỗ bán chứng khoán trong năm VND,,,,
Cổ phiếu niêm yết,Danh mục các khoản đầu tư > Cổ phiếu niêm yết,Cổ phiếu niêm yết,11.812.500,329.650.540.000,341.587.534.193,11.936.994.193,11812500.0,329650540000.0,341587534193.0,11936994193.0
Chứng chỉ tiền gửi,Danh mục các khoản đầu tư > Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,18.995.287,3.241.553.093.892,3.249.923.237.503,8.370.143.611,18995287.0,3241553093892.0,3249923237503.0,8370143611.0
Trái phiếu niêm yết,Danh mục các khoản đầu tư > Trái phiếu niêm yết,Trái phiếu niêm yết,34.860.000,3.698.374.560.000,3.703.488.526.666,5.113.966.666,34860000.0,3698374560000.0,3703488526666.0,5113966666.0
Trái phiếu chưa niêm yết,Danh mục các khoản đầu tư > Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,1.700.085,173.983.642.321,178.767.757.545,4.784.115.224,1700085.0,173983642321.0,178767757545.0,4784115224.0
Chứng quyền có bảo đảm khác,Danh mục các khoản đầu tư > Chứng quyền có bảo đảm khác,Chứng quyền có bảo đảm khác,2.717.800,3.647.389.762,3.978.615.000,331.225.238,2717800.0,3647389762.0,3978615000.0,331225238.0
Đáo hạn chứng quyền,Danh mục các khoản đầu tư > Đáo hạn chứng quyền,Đáo hạn chứng quyền,52.100,-,-,43.326.105,52100.0,,,43326105.0
,,,70.137.772,7.447.209.225.975,7.477.745.670.907,30.579.771.037,70137772.0,7447209225975.0,7477745670907.0,30579771037.0
