row_label_raw,row_label_full,col_0,col_1,Mãsố,Năm 2024VND,Năm 2023VND,numeric__col_1,numeric__Mãsố,numeric__Năm 2024VND,numeric__Năm 2023VND
I.,I.,I.,"Lưu chuyển tiền hoạt động môi giới, ủy thác của khách hàng",,,,,,,
1.,I. > 1.,1.,Tiền thu bán chứng khoán môi giới cho khách hàng,01,243.148.294.750.444,204.883.829.405.670,,1.0,243148294750444.0,204883829405670.0
2.,I. > 2.,2.,Tiền chi mua chứng khoán môi giới cho khách hàng,02,(247.997.854.109.762),(209.033.232.369.430),,2.0,-247997854109762.0,-209033232369430.0
7.,I. > 7.,7.,Nhận tiền gửi để thanh toán giao dịch chứng khoán của khách hàng,07,3.995.867.134.532,5.308.417.160.322,,7.0,3995867134532.0,5308417160322.0
11.,I. > 11.,11.,Chi trả phí lưu ký chứng khoán của khách hàng,09,(16.473.190.813),(14.475.365.969),,9.0,-16473190813.0,-14475365969.0
14.,I. > 14.,14.,Tiền thu của Tổ chức phát hành chứng khoán,14,2.576.995.057.278,8.407.492.323.656,,14.0,2576995057278.0,8407492323656.0
15.,I. > 15.,15.,Tiền chi trả Tổ chức phát hành chứng khoán,15,(2.580.405.881.278),(8.398.991.492.916),,15.0,-2580405881278.0,-8398991492916.0
,,,Tăng tiền thuần trong năm,20,(873.576.239.599),1.153.039.661.333,,20.0,-873576239599.0,1153039661333.0
II.,I. > II.,II.,Tiền và các khoản tương đương tiền đầu năm của khách hàng,30,4.232.508.528.453,3.079.468.867.120,,30.0,4232508528453.0,3079468867120.0
II.,I. > II.,II.,Tiền gửi ngân hàng đầu năm:,31,4.232.508.528.453,3.079.468.867.120,,31.0,4232508528453.0,3079468867120.0
II.,I. > II.,II.,- Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức công ty chứng khoán quản lý,32,3.897.146.498.014,2.383.039.436.763,,32.0,3897146498014.0,2383039436763.0
II.,I. > II.,II.,- Tiền gửi ký quỹ của Nhà đầu tư,32.1,133.652.638.234,275.108.866.747,,321.0,133652638234.0,275108866747.0
II.,I. > II.,II.,- Tiền gửi tổng hợp giao dịch chứng khoán cho khách hàng,33,192.365.811.559,420.477.813.704,,33.0,192365811559.0,420477813704.0
II.,I. > II.,II.,- Tiền gửi của Tổ chức phát hành,35,9.343.580.646,842.749.906,,35.0,9343580646.0,842749906.0
III.,I. > III.,III.,Tiền và các khoản tương đương tiền cuối năm của khách hàng (\( 40 = 20 + 30 \)),40,3.358.932.288.854,4.232.508.528.453,,40.0,3358932288854.0,4232508528453.0
III.,I. > III.,III.,Tiền gửi ngân hàng cuối năm,41,3.358.932.288.854,4.232.508.528.453,,41.0,3358932288854.0,4232508528453.0
III.,I. > III.,III.,- Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức công ty chứng khoán quản lý,42,2.910.908.869.249,3.897.146.498.014,,42.0,2910908869249.0,3897146498014.0
III.,I. > III.,III.,- Tiền gửi ký quỹ của Nhà đầu tư,42.1,270.501.223.230,133.652.638.234,,421.0,270501223230.0,133652638234.0
III.,I. > III.,III.,- Tiền gửi tổng hợp giao dịch chứng khoán cho khách hàng,43,171.589.439.729,192.365.811.559,,43.0,171589439729.0,192365811559.0
III.,I. > III.,III.,- Tiền gửi của Tổ chức phát hành,45,5.932.756.646,9.343.580.646,,45.0,5932756646.0,9343580646.0
