row_label_raw,row_label_full,col_0,Số lượng Đơn vị,31/12/2024 Giá gốc VND,Dự phòng suy giảm giá trị VND,Số lượng Đơn vị_1,31/12/2023 Giá gốc VND,Dự phòng suy giảm giá trị VND_1,numeric__Số lượng Đơn vị,numeric__31/12/2024 Giá gốc VND,numeric__Dự phòng suy giảm giá trị VND,numeric__Số lượng Đơn vị_1,numeric__31/12/2023 Giá gốc VND,numeric__Dự phòng suy giảm giá trị VND_1
Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,,,,,,
Cổ phiếu chưa niêm yết,Tài sản tài chính AFS > Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,6.355.517,117.975.345.153,(82.554.833.496),6.355.517,117.975.345.153,(82.554.833.496),6355517.0,117975345153.0,-82554833496.0,6355517.0,117975345153.0,-82554833496.0
CTCP Cảng Tân Cảng Hiệp Phước,Tài sản tài chính AFS > CTCP Cảng Tân Cảng Hiệp Phước,CTCP Cảng Tân Cảng Hiệp Phước,1.710.000,46.768.500.000,(28.899.000.000),1.710.000,46.768.500.000,(28.899.000.000),1710000.0,46768500000.0,-28899000000.0,1710000.0,46768500000.0,-28899000000.0
TCT Công nghệ Năng lượng Dầu khí Việt Nam,Tài sản tài chính AFS > TCT Công nghệ Năng lượng Dầu khí Việt Nam,TCT Công nghệ Năng lượng Dầu khí Việt Nam,2.500.000,30.000.000.000,(16.750.000.000),2.500.000,30.000.000.000,(16.750.000.000),2500000.0,30000000000.0,-16750000000.0,2500000.0,30000000000.0,-16750000000.0
CTCP Chế biến Thủy sản Út Xi,Tài sản tài chính AFS > CTCP Chế biến Thủy sản Út Xi,CTCP Chế biến Thủy sản Út Xi,894.705,26.214.856.500,(26.214.856.500),894.705,26.214.856.500,(26.214.856.500),894705.0,26214856500.0,-26214856500.0,894705.0,26214856500.0,-26214856500.0
CTCP công nghiệp cao su COECCO,Tài sản tài chính AFS > CTCP công nghiệp cao su COECCO,CTCP công nghiệp cao su COECCO,492.000,7.380.000.000,(4.182.000.000),492.000,7.380.000.000,(4.182.000.000),492000.0,7380000000.0,-4182000000.0,492000.0,7380000000.0,-4182000000.0
Công ty cổ phần Viet Lotus,Tài sản tài chính AFS > Công ty cổ phần Viet Lotus,Công ty cổ phần Viet Lotus,457.300,4.573.000.000,(3.508.976.996),457.300,4.573.000.000,(3.508.976.996),457300.0,4573000000.0,-3508976996.0,457300.0,4573000000.0,-3508976996.0
Cổ phiếu chưa niêm yết khác,Tài sản tài chính AFS > Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,301.512,3.038.988.653,(3.000.000.000),301.512,3.038.988.653,(3.000.000.000),301512.0,3038988653.0,-3000000000.0,301512.0,3038988653.0,-3000000000.0
Trái phiếu chưa niêm yết,Tài sản tài chính AFS > Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,6.530.709,1.987.835.612.518,(15.845.872.480),6.267.875,1.037.177.490.180,-,6530709.0,1987835612518.0,-15845872480.0,6267875.0,1037177490180.0,
,,,,2.105.810.957.671,(98.400.705.976),,1.155.152.835.333,(82.554.833.496),,2105810957671.0,-98400705976.0,,1155152835333.0,-82554833496.0
