row_label_raw,row_label_full,Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,1/1/2024VND > 55.331.646.387,Được ghi nhận trongbảo cáo kết quả hoạtđộng trong nămVND > 16.714.063.180,31/12/2024VND > 72.045.709.567,numeric__1/1/2024VND > 55.331.646.387,numeric__Được ghi nhận trongbảo cáo kết quả hoạtđộng trong nămVND > 16.714.063.180,numeric__31/12/2024VND > 72.045.709.567
Khoản chênh lệch tạm thời chịu thuế,Khoản chênh lệch tạm thời chịu thuế,Khoản chênh lệch tạm thời chịu thuế,(53.719.534),53.719.534,-,-53719534.0,53719534.0,
Chênh lệch giảm đánh giá lại các tài sản tài chính FVTPL,Chênh lệch giảm đánh giá lại các tài sản tài chính FVTPL,Chênh lệch giảm đánh giá lại các tài sản tài chính FVTPL,99.857.213,(35.991.852),63.865.361,99857213.0,-35991852.0,63865361.0
Chênh lệch tăng đánh giá lại các tài sản tài chính FVTPL,Chênh lệch tăng đánh giá lại các tài sản tài chính FVTPL,Chênh lệch tăng đánh giá lại các tài sản tài chính FVTPL,(10.124.200.613),(9.815.531.028),(19.939.731.641),-10124200613.0,-9815531028.0,-19939731641.0
Chênh lệch tăng về đánh giá lại chứng quyền,Chênh lệch tăng về đánh giá lại chứng quyền,Chênh lệch tăng về đánh giá lại chứng quyền,6.406.540,213.549.344,219.955.884,6406540.0,213549344.0,219955884.0
Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,45.259.989.993,7.129.809.178,52.389.799.171,45259989993.0,7129809178.0,52389799171.0
