row_label_raw,row_label_full,col_0,Phần mềm máy vi tính,Phần mềm máy vi tính_1,numeric__Phần mềm máy vi tính,numeric__Phần mềm máy vi tính_1
,,,Năm 2024VND,Năm 2023VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,105.202.602.066,97.212.152.066,105202602066.0,97212152066.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,3.994.239.000,8.185.500.000,3994239000.0,8185500000.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(6.151.610.000),(195.050.000),-6151610000.0,-195050000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,103.045.231.066,105.202.602.066,103045231066.0,105202602066.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,60.828.362.830,41.250.365.364,60828362830.0,41250365364.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,19.409.263.550,19.773.047.466,19409263550.0,19773047466.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(6.151.610.000),(195.050.000),-6151610000.0,-195050000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,74.086.016.380,60.828.362.830,74086016380.0,60828362830.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,44.374.239.236,55.961.786.702,44374239236.0,55961786702.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,28.959.214.686,44.374.239.236,28959214686.0,44374239236.0
