row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Giá gốcVND,Giá trị thị trường/Giá trị hợp lý (*)VND,Dự phòng suy giảmgiá trịVND,Giá trị ghi sổVND,numeric__Giá gốcVND,numeric__Giá trị thị trường/Giá trị hợp lý (*)VND,numeric__Dự phòng suy giảmgiá trịVND,numeric__Giá trị ghi sổVND
Cổ phiếu chưa niêm yết (**),Cổ phiếu chưa niêm yết (**),Cổ phiếu chưa niêm yết (**),117.975.345.153,(**),82.554.833.496,35.420.511.657,117975345153.0,,82554833496.0,35420511657.0
Trải phiếu chưa niêm yết,Trải phiếu chưa niêm yết,Trải phiếu chưa niêm yết,1.987.835.612.518,1.987.835.612.518,15.845.872.480,1.971.989.740.038,1987835612518.0,1987835612518.0,15845872480.0,1971989740038.0
Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,600.568.892.700,600.568.892.700,-,600.568.892.700,600568892700.0,600568892700.0,,600568892700.0
,,,2.706.379.850.371,,98.400.705.976,2.607.979.144.395,2706379850371.0,,98400705976.0,2607979144395.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Giá gốcVND,Giá trị thị trường/Giá trị hợp lý (*)VND,Dự phòng suy giảmgiá trịVND,Giá trị ghi sổVND,,,,
Cổ phiếu chưa niêm yết,Tại ngày 31 tháng 12 năm 2023 > Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,117.975.345.153,(**),82.554.833.496,35.420.511.657,117975345153.0,,82554833496.0,35420511657.0
Trải phiếu chưa niêm yết,Tại ngày 31 tháng 12 năm 2023 > Trải phiếu chưa niêm yết,Trải phiếu chưa niêm yết,1.037.177.490.180,1.037.177.490.180,-,1.037.177.490.180,1037177490180.0,1037177490180.0,,1037177490180.0
Chứng chỉ quỹ chưa niêm yết,Tại ngày 31 tháng 12 năm 2023 > Chứng chỉ quỹ chưa niêm yết,Chứng chỉ quỹ chưa niêm yết,106.415.184.900,106.415.184.900,-,106.415.184.900,106415184900.0,106415184900.0,,106415184900.0
,,,1.261.568.020.233,,82.554.833.496,1.179.013.186.737,1261568020233.0,,82554833496.0,1179013186737.0
