row_label_raw,row_label_full,col_0,Giá gốc > VND,Giá gốc > VND_1,Giá trị thị trường/Giá trị hợp lý,Chênh lệch đánh giá lại cuối năm VND,Chênh lệch đánh giá lại đầu năm VND,Chênh lệch đánh giá lại VND,Chênh lệch tăng VND,Chênh lệch giảm VND,numeric__Giá gốc > VND,numeric__Giá gốc > VND_1,numeric__Giá trị thị trường/Giá trị hợp lý,numeric__Chênh lệch đánh giá lại cuối năm VND,numeric__Chênh lệch đánh giá lại đầu năm VND,numeric__Chênh lệch đánh giá lại VND,numeric__Chênh lệch tăng VND,numeric__Chênh lệch giảm VND
Tài sản tài chính ghi nhận thông qua lãi/(lỗ) (FVTPL),Tài sản tài chính ghi nhận thông qua lãi/(lỗ) (FVTPL),Tài sản tài chính ghi nhận thông qua lãi/(lỗ) (FVTPL),Tài sản tài chính ghi nhận thông qua lãi/(lỗ) (FVTPL),Tài sản tài chính ghi nhận thông qua lãi/(lỗ) (FVTPL),Tài sản tài chính ghi nhận thông qua lãi/(lỗ) (FVTPL),Tài sản tài chính ghi nhận thông qua lãi/(lỗ) (FVTPL),Tài sản tài chính ghi nhận thông qua lãi/(lỗ) (FVTPL),Tài sản tài chính ghi nhận thông qua lãi/(lỗ) (FVTPL),Tài sản tài chính ghi nhận thông qua lãi/(lỗ) (FVTPL),Tài sản tài chính ghi nhận thông qua lãi/(lỗ) (FVTPL),,,,,,,,
Cổ phiếu niêm yết,Tài sản tài chính ghi nhận thông qua lãi/(lỗ) (FVTPL) > Cổ phiếu niêm yết,Cổ phiếu niêm yết,46.392.093.894,48.629.197.276,2.237.103.382,(40.542.265),2.277.645.647,2.327.899.501,(50.253.854),,46392093894.0,48629197276.0,2237103382.0,-40542265.0,2277645647.0,2327899501.0,-50253854.0,
Chứng chỉ quỹ chưa niêm yết,Tài sản tài chính ghi nhận thông qua lãi/(lỗ) (FVTPL) > Chứng chỉ quỹ chưa niêm yết,Chứng chỉ quỹ chưa niêm yết,76.536.759.982,84.324.000.000,7.787.240.018,(761.411.879),8.548.651.897,7.787.240.018,761.411.879,,76536759982.0,84324000000.0,7787240018.0,-761411879.0,8548651897.0,7787240018.0,761411879.0,
Chứng chỉ tiền gửi,Tài sản tài chính ghi nhận thông qua lãi/(lỗ) (FVTPL) > Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,479.827.830.991,479.827.830.991,-,-,-,-,-,,479827830991.0,479827830991.0,,,,,,
Trái phiếu niêm yết,Tài sản tài chính ghi nhận thông qua lãi/(lỗ) (FVTPL) > Trái phiếu niêm yết,Trái phiếu niêm yết,510.146.000.000,510.146.000.000,-,-,-,-,-,,510146000000.0,510146000000.0,,,,,,
,,,1.112.902.684.867,1.122.927.028.267,10.024.343.400,(801.954.144),10.826.297.544,10.115.139.519,711.158.025,,1112902684867.0,1122927028267.0,10024343400.0,-801954144.0,10826297544.0,10115139519.0,711158025.0,
