row_label_raw,row_label_full,Chi tiêu,Vốn góp/Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ Đầu tư phát triển,Quỹ Dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Lợi nhuận sau thuế,Cộng,numeric__Vốn góp/Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ Đầu tư phát triển,numeric__Quỹ Dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Lợi nhuận sau thuế,numeric__Cộng
Chi tiêu,Chi tiêu,Chi tiêu,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,
Số dư đầu năm,Chi tiêu > Số dư đầu năm,Số dư đầu năm,6.500.000,7.398,564,337.471,148.474,821.078,7.814.985,6500000.0,7398.0,564.0,337471.0,148474.0,821078.0,7814985.0
Tăng trong năm,Chi tiêu > Tăng trong năm,Tăng trong năm,585.000,-,-,74.649,37.324,587.794,1.284.767,585000.0,,,74649.0,37324.0,587794.0,1284767.0
Tăng vốn trong năm (ii),Chi tiêu > Tăng vốn trong năm (ii),Tăng vốn trong năm (ii),585.000,-,-,-,-,-,585.000,585000.0,,,,,,585000.0
Lợi nhuận tăng trong năm,Chi tiêu > Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,-,-,-,-,-,587.794,587.794,,,,,,587794.0,587794.0
Trích bổ sung các quỹ từ lợi nhuận năm trước (i),Chi tiêu > Trích bổ sung các quỹ từ lợi nhuận năm trước (i),Trích bổ sung các quỹ từ lợi nhuận năm trước (i),-,-,-,74.649,37.324,-,111.973,,,,74649.0,37324.0,,111973.0
Giảm trong năm,Chi tiêu > Giảm trong năm,Giảm trong năm,-,-,-,-,-,(736.170),(736.170),,,,,,-736170.0,-736170.0
Trích bổ sung các quỹ từ lợi nhuận năm trước (i),Chi tiêu > Trích bổ sung các quỹ từ lợi nhuận năm trước (i),Trích bổ sung các quỹ từ lợi nhuận năm trước (i),-,-,-,-,-,(151.170),(151.170),,,,,,-151170.0,-151170.0
Chia cổ tức (ii),Chi tiêu > Chia cổ tức (ii),Chia cổ tức (ii),-,-,-,-,-,(585.000),(585.000),,,,,,-585000.0,-585000.0
Số dư cuối năm,Chi tiêu > Số dư cuối năm,Số dư cuối năm,7.085.000,7.398,564,412.120,185.798,672.702,8.363.582,7085000.0,7398.0,564.0,412120.0,185798.0,672702.0,8363582.0
