row_label_raw,row_label_full,col_0,Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo),Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo)_1,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo),numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo)_1
,,,Tài sản,Công nợ,,
,,,Triệu VND,Triệu VND,,
Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,9.739,-,9739.0,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,9.739,-,9739.0,
- Giao dịch hoán đối tiền tệ,- Giao dịch hoán đối tiền tệ,- Giao dịch hoán đối tiền tệ,9.739,-,9739.0,
Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,27.641,-,27641.0,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,27.641,-,27641.0,
- Giao dịch hoán đối tiền tệ,- Giao dịch hoán đối tiền tệ,- Giao dịch hoán đối tiền tệ,27.641,-,27641.0,
8 . Cho vay khách hàng,8 . Cho vay khách hàng,8 . Cho vay khách hàng,8 . Cho vay khách hàng,8 . Cho vay khách hàng,,
,,,31/12/2020,31/12/2019,,
,,,Triệu VND,Triệu VND,,
"Cho vay các tổ chức kinh tế, cá nhân trong nước","8 . Cho vay khách hàng > Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước",79.438.294,72.930.750,79438294.0,72930750.0
"Cho vay bằng vốn tài trợ, ủy thác đầu tư","8 . Cho vay khách hàng > Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư",500,500,500.0,500.0
Cho vay theo chỉ định của Chính phủ,8 . Cho vay khách hàng > Cho vay theo chỉ định của Chính phủ,Cho vay theo chỉ định của Chính phủ,1.629,2.062,1629.0,2062.0
,,,79.440.423,72.933.312,79440423.0,72933312.0
Phân tích chất lượng nợ cho vay,Phân tích chất lượng nợ cho vay,Phân tích chất lượng nợ cho vay,Phân tích chất lượng nợ cho vay,Phân tích chất lượng nợ cho vay,,
,,,31/12/2020,31/12/2019,,
,,,Triệu VND,Triệu VND,,
Nợ đủ tiêu chuẩn,Phân tích chất lượng nợ cho vay > Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,78.768.014,72.385.261,78768014.0,72385261.0
Nợ cần chú ý,Phân tích chất lượng nợ cho vay > Nợ cần chú ý,Nợ cần chú ý,44.409,48.025,44409.0,48025.0
Nợ dưới tiêu chuẩn,Phân tích chất lượng nợ cho vay > Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,23.123,264.743,23123.0,264743.0
Nợ nghi ngờ,Phân tích chất lượng nợ cho vay > Nợ nghi ngờ,Nợ nghi ngờ,271.073,17.576,271073.0,17576.0
Nợ có khả năng mất vốn,Phân tích chất lượng nợ cho vay > Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,333.804,217.707,333804.0,217707.0
,,,79.440.423,72.933.312,79440423.0,72933312.0
Phân tích dư nợ theo thời gian,Phân tích dư nợ theo thời gian,Phân tích dư nợ theo thời gian,Phân tích dư nợ theo thời gian,Phân tích dư nợ theo thời gian,,
,,,31/12/2020,31/12/2019,,
,,,Triệu VND,Triệu VND,,
Nợ ngắn hạn,Phân tích dư nợ theo thời gian > Nợ ngắn hạn,Nợ ngắn hạn,35.650.639,31.383.290,35650639.0,31383290.0
Nợ trung hạn,Phân tích dư nợ theo thời gian > Nợ trung hạn,Nợ trung hạn,14.393.929,13.876.856,14393929.0,13876856.0
Nợ dài hạn,Phân tích dư nợ theo thời gian > Nợ dài hạn,Nợ dài hạn,29.395.855,27.673.166,29395855.0,27673166.0
,,,79.440.423,72.933.312,79440423.0,72933312.0
