row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Khác,Khác_1,Hoạt động chung không phân bổ,Hoạt động chung không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Khác,numeric__Khác_1,numeric__Hoạt động chung không phân bổ,numeric__Hoạt động chung không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Năm nay/Cuối nămTriệu VND,Năm trước/ Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/ Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/ Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/ Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/ Đầu nămTriệu VND,,,,,,,,,,
I. Doanh thu,I. Doanh thu,I. Doanh thu,9.890.179,8.928.182,3.227,74.363,279.750,292.138,-,-,10.173.156,9.294.683,9890179.0,8928182.0,3227.0,74363.0,279750.0,292138.0,,,10173156.0,9294683.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,9.816.232,8.928.182,-,-,8.358,7.952,-,-,9.824.590,8.936.134,9816232.0,8928182.0,,,8358.0,7952.0,,,9824590.0,8936134.0
2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,73.947,-,3.227,74.363,-,-,-,-,77.174,74.363,73947.0,,3227.0,74363.0,,,,,77174.0,74363.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,-,-,-,-,271.392,284.186,-,-,271.392,284.186,,,,,271392.0,284186.0,,,271392.0,284186.0
II. Chi phí,II. Chi phí,II. Chi phí,7.820.730,6.969.579,-,25.967,122.897,99.626,1.240.390,1.103.592,9.184.017,8.198.764,7820730.0,6969579.0,,25967.0,122897.0,99626.0,1240390.0,1103592.0,9184017.0,8198764.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,7.793.519,6.969.579,-,-,-,-,-,-,7.793.519,6.969.579,7793519.0,6969579.0,,,,,,,7793519.0,6969579.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,-,-,-,-,-,-,32.459,31.777,32.459,31.777,,,,,,,32459.0,31777.0,32459.0,31777.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,27.211,-,-,25.967,122.897,99.626,1.207.931,1.071.815,1.358.039,1.197.408,27211.0,,,25967.0,122897.0,99626.0,1207931.0,1071815.0,1358039.0,1197408.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,2.069.449,1.958.603,3.227,48.396,156.853,192.512,(1.240.390),(1.103.592),989.139,1.095.919,2069449.0,1958603.0,3227.0,48396.0,156853.0,192512.0,-1240390.0,-1103592.0,989139.0,1095919.0
Chi phí/(Hoàn nhập) dự phòng rủi ro,Chi phí/(Hoàn nhập) dự phòng rủi ro,Chi phí/(Hoàn nhập) dự phòng rủi ro,254.326,154.901,-,7.125,-,-,-,-,254.326,162.026,254326.0,154901.0,,7125.0,,,,,254326.0,162026.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,1.815.123,1.803.702,3.227,41.271,156.853,192.512,(1.240.390),(1.103.592),734.813,933.893,1815123.0,1803702.0,3227.0,41271.0,156853.0,192512.0,-1240390.0,-1103592.0,734813.0,933893.0
