row_label_raw,row_label_full,col_0,Tỷ lệ,Số tiền,numeric__Tỷ lệ,numeric__Số tiền
,,,%,Triệu VND,,
Lợi nhuận sau thuế năm 2019,Lợi nhuận sau thuế năm 2019,Lợi nhuận sau thuế năm 2019,,749.456,,749456.0
Trích các Quỹ,Trích các Quỹ,Trích các Quỹ,"18,68",139.973,18.68,139973.0
- Quỹ dự trữ bổ sung vốn điều lệ,- Quỹ dự trữ bổ sung vốn điều lệ,- Quỹ dự trữ bổ sung vốn điều lệ,"4,98",37.324,4.98,37324.0
- Quỹ dự phòng tài chính,- Quỹ dự phòng tài chính,- Quỹ dự phòng tài chính,"9,96",74.649,9.96,74649.0
- Quỹ phúc lợi,- Quỹ phúc lợi,- Quỹ phúc lợi,"1,87",14.000,1.87,14000.0
- Quỹ khen thưởng,- Quỹ khen thưởng,- Quỹ khen thưởng,"1,87",14.000,1.87,14000.0
Thù lao HĐQT và BKS,Thù lao HĐQT và BKS,Thù lao HĐQT và BKS,"1,49",11.197,1.49,11197.0
Chia cổ tức bằng cổ phiếu cho cổ đông (9% vốn điều lệ) (ii),Chia cổ tức bằng cổ phiếu cho cổ đông (9% vốn điều lệ) (ii),Chia cổ tức bằng cổ phiếu cho cổ đông (9% vốn điều lệ) (ii),"78,06",585.000,78.06,585000.0
Lợi nhuận để lại,Lợi nhuận để lại,Lợi nhuận để lại,,13.286,,13286.0
