row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2020 > Triệu VND,31/12/2019 > Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2020 > Triệu VND,numeric__31/12/2019 > Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,16,147.537,196.047,,16.0,147537.0,196047.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,17,13.231.963,14.658.448,,17.0,13231963.0,14658448.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,13.231.030,13.067.379,,,13231030.0,13067379.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,933,1.591.069,,,933.0,1591069.0
III,B > III,III,Tiền gửi của khách hàng,18,86.442.223,76.163.271,,18.0,86442223.0,76163271.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",19,3.120,5.587,,19.0,3120.0,5587.0
VI,B > VI,VI,Phát hành giấy tờ có giá,20,5.889.835,6.134.254,,20.0,5889835.0,6134254.0
VII,B > VII,VII,Các khoản nợ khác,,3.111.133,2.917.177,,,3111133.0,2917177.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.732.698,2.613.019,,,2732698.0,2613019.0
3,B > 3,3,Các khoản phải trả và công nợ khác,21,378.435,304.158,,21.0,378435.0,304158.0
,,,TỔNG NỘ PHẢI TRẢ,,108.825.811,100.074.784,,,108825811.0,100074784.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,22,8.363.582,7.814.985,,22.0,8363582.0,7814985.0
1,B > 1,1,Vốn của tổ chức tín dụng,,7.092.398,6.507.398,,,7092398.0,6507398.0
\( a \),B > \( a \),\( a \),Vốn điều lệ,,7.085.000,6.500.000,,,7085000.0,6500000.0
\( c \),B > \( c \),\( c \),Thặng dư vốn cổ phần,,7.398,7.398,,,7398.0,7398.0
2,B > 2,2,Quỹ của tổ chức tín dụng,,598.482,486.509,,,598482.0,486509.0
5,B > 5,5,Lợi nhuận chưa phân phối,,672.702,821.078,,,672702.0,821078.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,117.189.393,107.889.769,,,117189393.0,107889769.0
