row_label_raw,row_label_full,Kỳ hạn,Mệnh giá,Chiết khấu,Phụ trội,Giá trị thuần,numeric__Mệnh giá,numeric__Chiết khấu,numeric__Phụ trội,numeric__Giá trị thuần
Kỳ hạn,Kỳ hạn,Kỳ hạn,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Từ 12 tháng đến 05 năm,Kỳ hạn > Từ 12 tháng đến 05 năm,Từ 12 tháng đến 05 năm,4.889.835,-,-,4.889.835,4889835.0,,,4889835.0
Từ 05 năm trở lên,Kỳ hạn > Từ 05 năm trở lên,Từ 05 năm trở lên,1.000.000,-,-,1.000.000,1000000.0,,,1000000.0
,,,5.889.835,-,-,5.889.835,5889835.0,,,5889835.0
Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,,,,
Kỳ hạn,Kỳ hạn,Kỳ hạn,Mệnh giá,Chiết khấu,Phụ trội,Giá trị thuần,,,,
Kỳ hạn,Kỳ hạn,Kỳ hạn,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Từ 12 tháng đến 05 năm,Kỳ hạn > Từ 12 tháng đến 05 năm,Từ 12 tháng đến 05 năm,5.184.254,-,-,5.184.254,5184254.0,,,5184254.0
Từ 05 năm trở lên,Kỳ hạn > Từ 05 năm trở lên,Từ 05 năm trở lên,950.000,-,-,950.000,950000.0,,,950000.0
,,,6.134.254,-,-,6.134.254,6134254.0,,,6134254.0
