row_label_raw,row_label_full,col_0,Nguyên giá/Giá hợp lý khighì nhận ban đầu,Giá trịkhẩu hao lũy kế,Giá trị còn lại,numeric__Nguyên giá/Giá hợp lý khighì nhận ban đầu,numeric__Giá trịkhẩu hao lũy kế,numeric__Giá trị còn lại
,,,Triệu VND,Triệu VND,Triệu VND,,,
"TSCD vô hình, chiểm tỷ trọng lớn trongtổng tài sản","TSCD vô hình, chiểm tỷ trọng lớn trongtổng tài sản","TSCD vô hình, chiểm tỷ trọng lớn trongtổng tài sản",4.653.406,690.020,3.963.386,4653406.0,690020.0,3963386.0
Nguyên giá của TSCD vô hình khấu haohết nhưng vấn còn sử dụng,Nguyên giá của TSCD vô hình khấu haohết nhưng vấn còn sử dụng,Nguyên giá của TSCD vô hình khấu haohết nhưng vấn còn sử dụng,295.769,295.769,-,295769.0,295769.0,
Giá trị còn lại của TSCD vô hình đangthanh lý,Giá trị còn lại của TSCD vô hình đangthanh lý,Giá trị còn lại của TSCD vô hình đangthanh lý,244,244,-,244.0,244.0,
