row_label_raw,row_label_full,Bên liên quan,Số dư,Phải thu,(Phải trả),numeric__Số dư,numeric__Phải thu,numeric__(Phải trả)
,,,,Triệu VND,Triệu VND,,,
Cơ quan quản lý Nhà nước,Cơ quan quản lý Nhà nước,Cơ quan quản lý Nhà nước,- Tiền gửi tại cơ quan quản lý,34.967.412,-,,34967412.0,
Cơ quan quản lý Nhà nước,Cơ quan quản lý Nhà nước,Cơ quan quản lý Nhà nước,- Tiền gửi của cơ quan quản lý,-,(33.871.963),,,-33871963.0
Cơ quan quản lý Nhà nước,Cơ quan quản lý Nhà nước,Cơ quan quản lý Nhà nước,- Các khoản vay từ cơ quan quản lý,-,(9.519.969),,,-9519969.0
Các công ty con,Các công ty con,Các công ty con,- Tiền gửi tại BIDV của các công ty con,-,(2.781.362),,,-2781362.0
Các công ty con,Các công ty con,Các công ty con,- Tiền vay từ BIDV của các công ty con,1.210.326,-,,1210326.0,
Các công ty con,Các công ty con,Các công ty con,- Tiền gửi của BIDV tại các công ty con,5.896.641,,,5896641.0,
Các công ty con,Các công ty con,Các công ty con,- Tiền BIDV vay của các công ty con,-,(185.013),,,-185013.0
Các công ty con,Các công ty con,Các công ty con,- Phải thu các công ty con,272.000,-,,272000.0,
Các công ty liên doanh,Các công ty liên doanh,Các công ty liên doanh,- Tiền gửi của các công ty liên doanh,-,(1.392.871),,,-1392871.0
Các công ty liên doanh,Các công ty liên doanh,Các công ty liên doanh,- Tiền gửi của BIDV tại các công ty liên doanh,6.709.886,-,,6709886.0,
Các công ty liên doanh,Các công ty liên doanh,Các công ty liên doanh,- Tiền vay từ BIDV của các công ty liên doanh,211.649,-,,211649.0,
Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,- Tiền gửi tại BIDV của các công ty liên kết,-,(1.192.896),,,-1192896.0
Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,- Tiền vay từ BIDV của các công ty liên kết,1.013.109,-,,1013109.0,
