row_label_raw,row_label_full,col_0,Qua hạn,Không chịu rulei ro lãi suất do định giá lại,Kỳ thay đổi lãi suất,Kỳ thay đổi lãi suất_1,Kỳ thay đổi lãi suất_2,Kỳ thay đổi lãi suất_3,Kỳ thay đổi lãi suất_4,Kỳ thay đổi lãi suất_5,Tổng,numeric__Qua hạn,numeric__Không chịu rulei ro lãi suất do định giá lại,numeric__Kỳ thay đổi lãi suất,numeric__Kỳ thay đổi lãi suất_1,numeric__Kỳ thay đổi lãi suất_2,numeric__Kỳ thay đổi lãi suất_3,numeric__Kỳ thay đổi lãi suất_4,numeric__Kỳ thay đổi lãi suất_5,numeric__Tổng
,,,Qua hạn,Không chịu rulei ro lãi suất do định giá lại,Đến 1 tháng,Từ 1-3 tháng,Từ 3-6 tháng,Từ 6-12 tháng,Từ 1-5 năm,Trên 5 năm,Tổng,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tải sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,6.953.737,-,-,-,-,-,-,6.953.737,,6953737.0,,,,,,,6953737.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,34.967.412,-,-,-,-,-,34.967.412,,,34967412.0,,,,,,34967412.0
Tiền gửi tại các TCTD khác và cho vay các TCTD khác (*),Tải sản > Tiền gửi tại các TCTD khác và cho vay các TCTD khác (*),Tiền gửi tại các TCTD khác và cho vay các TCTD khác (*),-,-,36.193.206,5.801.873,15.861.573,4.381.689,5.012.958,329.184,67.580.483,,,36193206.0,5801873.0,15861573.0,4381689.0,5012958.0,329184.0,67580483.0
Chứng khoán kinh doanh,Tải sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,-,458.646,1.203.566,7.814.640,-,-,9.476.852,,,,458646.0,1203566.0,7814640.0,,,9476852.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),28.376.373,-,233.036.546,192.911.770,153.987.141,63.405.048,20.691.791,17.675.915,710.084.584,28376373.0,,233036546.0,192911770.0,153987141.0,63405048.0,20691791.0,17675915.0,710084584.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),1.060.000,6.059.628,5.700.715,4.239.712,11.938.611,1.885.000,61.663.513,57.180.768,149.727.947,1060000.0,6059628.0,5700715.0,4239712.0,11938611.0,1885000.0,61663513.0,57180768.0,149727947.0
"Góp vốn, đầu tư dài hạn (*)","Tải sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,8.512.696,-,-,-,-,-,-,8.512.696,,8512696.0,,,,,,,8512696.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,-,9.524.652,-,-,-,-,-,-,9.524.652,,9524652.0,,,,,,,9524652.0
Tải sản Có khác (*),Tải sản > Tải sản Có khác (*),Tải sản Có khác (*),372.377,15.730.450,-,-,-,-,-,-,16.102.827,372377.0,15730450.0,,,,,,,16102827.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,29.808.750,46.781.163,309.897.879,203.412.001,182.990.891,77.486.377,87.368.262,75.185.867,1.012.931.190,29808750.0,46781163.0,309897879.0,203412001.0,182990891.0,77486377.0,87368262.0,75185867.0,1012931190.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi và vay từ NHNN và các TCTD khác,Tiền gửi và vay từ NHNN và các TCTD khác,-,508.261,80.319.835,23.872.833,21.101.567,7.831.137,-,221.364,133.854.997,,508261.0,80319835.0,23872833.0,21101567.0,7831137.0,,221364.0,133854997.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,278.040.432,162.298.053,139.959.660,127.669.856,15.703.287,2.509,723.673.797,,,278040432.0,162298053.0,139959660.0,127669856.0,15703287.0,2509.0,723673797.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,152.204,7.687,81.055,106.427,391.463,2.074.176,8.548.948,11.361.960,,152204.0,7687.0,81055.0,106427.0,391463.0,2074176.0,8548948.0,11361960.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,6.252.000,4.748.945,3.866.181,21.753.778,10.521.075,19.500.062,66.642.041,,,6252000.0,4748945.0,3866181.0,21753778.0,10521075.0,19500062.0,66642041.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,103.320,-,-,-,-,-,-,103.320,,103320.0,,,,,,,103320.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,19.234.167,-,-,-,-,-,-,19.234.167,,19234167.0,,,,,,,19234167.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,19.997.952,364.619.954,191.000.886,165.033.835,157.646.234,28.298.538,28.272.883,954.870.282,,19997952.0,364619954.0,191000886.0,165033835.0,157646234.0,28298538.0,28272883.0,954870282.0
Mức chênh nhạy cảm với lãi suất nội bảng Các cam kết ngoại bảng có tác động tối mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng Các cam kết ngoại bảng có tác động tối mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Mức chênh nhạy cảm với lãi suất nội bảng Các cam kết ngoại bảng có tác động tối mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),29.808.750,26.783.211,(54.722.075),12.411.115,17.957.056,(80.159.857),59.069.724,46.912.984,58.060.908,29808750.0,26783211.0,-54722075.0,12411115.0,17957056.0,-80159857.0,59069724.0,46912984.0,58060908.0
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng",29.808.750,26.783.211,(54.722.075),12.411.115,17.957.056,(80.159.857),59.069.724,46.912.984,58.060.908,29808750.0,26783211.0,-54722075.0,12411115.0,17957056.0,-80159857.0,59069724.0,46912984.0,58060908.0
