row_label_raw,row_label_full,"I. Tổng số cán bộ, công nhân viên bình quân trong năm",Năm nay > 23.122,Năm trước > 22.322,numeric__Năm nay > 23.122,numeric__Năm trước > 22.322
"II. Thu nhập của cán bộ, công nhân viên (triệu đồng)","II. Thu nhập của cán bộ, công nhân viên (triệu đồng)","II. Thu nhập của cán bộ, công nhân viên (triệu đồng)",,,,
1. Tổng thu nhập,"II. Thu nhập của cán bộ, công nhân viên (triệu đồng) > 1. Tổng thu nhập",1. Tổng thu nhập,6.045.776,5.435.886,6045776.0,5435886.0
2. Thu nhập bình quân tháng,"II. Thu nhập của cán bộ, công nhân viên (triệu đồng) > 2. Thu nhập bình quân tháng",2. Thu nhập bình quân tháng,"21,79","20,29",21.79,20.29
