row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A,A,A,TÀI SẢN,,,,,,,
I.,A > I.,I.,"Tiền mặt, vàng bạc, đá quý",4,6.953.737,6.567.534,,4.0,6953737.0,6567534.0
II.,A > II.,II.,"Tiền gửi tại Ngân hàng Nhà nước (""NHNN"")",5,34.967.412,21.718.717,,5.0,34967412.0,21718717.0
III.,A > III.,III.,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,6,67.473.403,67.623.806,,6.0,67473403.0,67623806.0
1.,A > 1.,1.,Tiền gửi tại TCTD khác,,44.293.700,46.666.974,,,44293700.0,46666974.0
2.,A > 2.,2.,Cho vay các TCTD khác,,23.286.783,21.030.798,,,23286783.0,21030798.0
3.,A > 3.,3.,Dự phòng rủi ro tiền gửi tại các TCTD khác và cho vay các TCTD khác,7,(107.080),(73.966),,7.0,-107080.0,-73966.0
IV.,A > IV.,IV.,Chứng khoán kinh doanh,8,9.476.852,7.538.902,,8.0,9476852.0,7538902.0
1.,A > 1.,1.,Chứng khoán kinh doanh,,9.476.852,7.538.902,,,9476852.0,7538902.0
V.,A > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,-,101.882,,9.0,,101882.0
VI.,A > VI.,VI.,Cho vay khách hàng,,700.674.108,589.021.899,,,700674108.0,589021899.0
1.,A > 1.,1.,Cho vay khách hàng,10,710.084.584,596.143.683,,10.0,710084584.0,596143683.0
2.,A > 2.,2.,Dự phòng rủi ro cho vay khách hàng,11,(9.410.476),(7.121.784),,11.0,-9410476.0,-7121784.0
VII.,A > VII.,VII.,Chứng khoán đầu tư,12,143.690.843,121.216.032,,12.0,143690843.0,121216032.0
1.,A > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,,113.297.919,87.025.233,,,113297919.0,87025233.0
2.,A > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,,36.430.028,36.602.129,,,36430028.0,36602129.0
3.,A > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,,(6.037.104),(2.411.330),,,-6037104.0,-2411330.0
VIII.,A > VIII.,VIII.,"Góp vốn, đầu tư dài hạn",13,8.241.139,6.116.023,,13.0,8241139.0,6116023.0
1.,A > 1.,1.,Đầu tư vào công ty con,13.1,4.465.068,1.886.893,,131.0,4465068.0,1886893.0
2.,A > 2.,2.,Vốn góp liên doanh,13.2,3.277.091,3.753.326,,132.0,3277091.0,3753326.0
3.,A > 3.,3.,Đầu tư vào công ty liên kết,13.3,424.813,364.013,,133.0,424813.0,364013.0
4.,A > 4.,4.,"Góp vốn, đầu tư dài hạn khác",,345.724,463.216,,,345724.0,463216.0
5.,A > 5.,5.,Dự phòng giảm giá đầu tư dài hạn,13.4,(271.557),(351.425),,134.0,-271557.0,-351425.0
IX.,A > IX.,IX.,Tài sản cố định,14,9.524.652,8.492.736,,14.0,9524652.0,8492736.0
1.,A > 1.,1.,Tài sản cố định hữu hình,14.1,4.966.010,4.120.227,,141.0,4966010.0,4120227.0
a.,A > a.,a.,Nguyễn giá tài sản cố định,,8.878.330,7.354.848,,,8878330.0,7354848.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(3.912.320),(3.234.621),,,-3912320.0,-3234621.0
2.,A > 2.,2.,Tài sản cố định thuê tài chính,14.2,254.821,402.557,,142.0,254821.0,402557.0
a.,A > a.,a.,Nguyễn giá tài sản cố định,,412.026,686.029,,,412026.0,686029.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(157.205),(283.472),,,-157205.0,-283472.0
3.,A > 3.,3.,Tài sản cố định vô hình,14.3,4.303.821,3.969.952,,143.0,4303821.0,3969952.0
a.,A > a.,a.,Nguyễn giá tài sản cố định,,5.178.633,4.665.732,,,5178633.0,4665732.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(874.812),(695.780),,,-874812.0,-695780.0
X.,A > X.,X.,Tài sản Có khác,15,15.730.450,18.613.408,,15.0,15730450.0,18613408.0
1.,A > 1.,1.,Các khoản phải thu,,5.261.464,5.419.312,,,5261464.0,5419312.0
2.,A > 2.,2.,"Các khoản lãi, phí phải thu",,8.755.439,9.183.715,,,8755439.0,9183715.0
3.,A > 3.,3.,Tài sản cố khác,,2.085.924,4.380.448,,,2085924.0,4380448.0
4.,A > 4.,4.,Dự phòng rủi ro cho các tài sản Có nội bảng khác,,(372.377),(370.067),,,-372377.0,-370067.0
,,,TỔNG TÀI SẢN,,996.732.596,847.010.939,,,996732596.0,847010939.0
