row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay,Tổng tiền gửi,Các cam kết tin dụng,CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),Kinh doanh và đầu tư chứng khoán (Chênh lệch DN-DC),numeric__Tổng dư nợ cho vay,numeric__Tổng tiền gửi,numeric__Các cam kết tin dụng,numeric__CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),numeric__Kinh doanh và đầu tư chứng khoán (Chênh lệch DN-DC)
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Trong nước,Trong nước,Trong nước,733.038.982,787.096.771,171.479.089,103.320,159.204.799,733038982.0,787096771.0,171479089.0,103320.0,159204799.0
Nước ngoài,Nước ngoài,Nước ngoài,332.385,1.708.516,7.316,-,-,332385.0,1708516.0,7316.0,,
