row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,34.187.153,30.306,1.636.835,819.281,3.543.746,40.217.321,34187153.0,30306.0,1636835.0,819281.0,3543746.0,40217321.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,586.299,293.150,6.071.854,6.951.303,,,586299.0,293150.0,6071854.0,6951303.0
Trích các quỹ trong năm,Trích các quỹ trong năm,Trích các quỹ trong năm,-,-,586.299,293.150,-,879.449,,,586299.0,293150.0,,879449.0
Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,-,6.071.854,6.071.854,,,,,6071854.0,6071854.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,(440),-,(5.305.870),(5.306.310),,,-440.0,,-5305870.0,-5306310.0
Xử lý tổn thất liên quan đến hoạt động thể,Xử lý tổn thất liên quan đến hoạt động thể,Xử lý tổn thất liên quan đến hoạt động thể,-,-,(440),-,-,(440),,,-440.0,,,-440.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(1.519.900),(1.519.900),,,,,-1519900.0,-1519900.0
"Trích quỹ dự phòng tài chính, bổ sung vốn điều","Trích quỹ dự phòng tài chính, bổ sung vốn điều","Trích quỹ dự phòng tài chính, bổ sung vốn điều",-,-,-,-,(879.449),(879.449),,,,,-879449.0,-879449.0
Trả cổ tức cho cổ đông,Trả cổ tức cho cổ đông,Trả cổ tức cho cổ đông,-,-,-,-,(2.905.908),(2.905.908),,,,,-2905908.0,-2905908.0
Các khoản giảm khác trong năm,Các khoản giảm khác trong năm,Các khoản giảm khác trong năm,-,-,-,-,(613),(613),,,,,-613.0,-613.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,34.187.153,30.306,2.222.694,1.112.431,4.309.730,41.862.314,34187153.0,30306.0,2222694.0,1112431.0,4309730.0,41862314.0
