row_label_raw,row_label_full,col_0,Tỷ lệ > Vốnnấm giữ,Tỷ lệ > Quyềnbiểu quyết,31/12/2023 (VND) > Giá gốc/Giá trị ghi sốtheo phương phápvốn chủ sở hữu,31/12/2023 (VND) > Dự phòng,01/01/2023 (VND) > Giá gốc/Giá trị ghi sốtheo phương phápvốn chủ sở hữu,01/01/2023 (VND) > Dự phòng,numeric__Tỷ lệ > Vốnnấm giữ,numeric__Tỷ lệ > Quyềnbiểu quyết,numeric__31/12/2023 (VND) > Giá gốc/Giá trị ghi sốtheo phương phápvốn chủ sở hữu,numeric__31/12/2023 (VND) > Dự phòng,numeric__01/01/2023 (VND) > Giá gốc/Giá trị ghi sốtheo phương phápvốn chủ sở hữu,numeric__01/01/2023 (VND) > Dự phòng
Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,,,28.771.200.000,(28.771.200.000),28.771.200.000,(28.771.200.000),,,28771200000.0,-28771200000.0,28771200000.0,-28771200000.0
Công ty Cổ phần Lương thực Hậu Giang (*),Công ty Cổ phần Lương thực Hậu Giang (*),Công ty Cổ phần Lương thực Hậu Giang (*),"52,28%","52,28%",28.771.200.000,(28.771.200.000),28.771.200.000,(28.771.200.000),0.5228,0.5228,28771200000.0,-28771200000.0,28771200000.0,-28771200000.0
"Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết",,,85.090.886.430,(437.724.796),83.040.036.754,(437.724.796),,,85090886430.0,-437724796.0,83040036754.0,-437724796.0
Công ty Cổ phần Lương thực Thực phẩm Vĩnh Long,Công ty Cổ phần Lương thực Thực phẩm Vĩnh Long,Công ty Cổ phần Lương thực Thực phẩm Vĩnh Long,"40,00%","40,00%",-,-,-,-,0.4,0.4,,,,
Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,"30,72%","30,72%",47.244.267.920,-,45.901.296.009,-,0.3072,0.3072,47244267920.0,,45901296009.0,
Công ty Cổ phần Hoàn Mỹ,Công ty Cổ phần Hoàn Mỹ,Công ty Cổ phần Hoàn Mỹ,"30,00%","30,00%",-,-,-,-,0.3,0.3,,,,
Công ty Cổ phần Bến Thành - Mũi Né,Công ty Cổ phần Bến Thành - Mũi Né,Công ty Cổ phần Bến Thành - Mũi Né,"20,62%","20,62%",21.181.109.688,-,20.473.231.923,-,0.20620000000000002,0.20620000000000002,21181109688.0,,20473231923.0,
Cơ sở nuôi cá ở khóm Long Trị,Cơ sở nuôi cá ở khóm Long Trị,Cơ sở nuôi cá ở khóm Long Trị,"60,00%","60,00%",10.812.000.000,-,10.812.000.000,-,0.6,0.6,10812000000.0,,10812000000.0,
Công ty Cổ phần Phú Tam Khôi,Công ty Cổ phần Phú Tam Khôi,Công ty Cổ phần Phú Tam Khôi,"40,00%","40,00%",5.853.508.822,(437.724.796),5.853.508.822,(437.724.796),0.4,0.4,5853508822.0,-437724796.0,5853508822.0,-437724796.0
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,,,90.606.925.910,(34.318.089.454),90.606.925.910,(36.539.715.724),,,90606925910.0,-34318089454.0,90606925910.0,-36539715724.0
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Foodinco,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Foodinco,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Foodinco,"12,27%","12,27%",27.469.130.000,(8.115.077.901),27.469.130.000,(8.115.077.901),0.12269999999999999,0.12269999999999999,27469130000.0,-8115077901.0,27469130000.0,-8115077901.0
Công ty Cổ phần Lương thực và Bao bì Đồng Tháp,Công ty Cổ phần Lương thực và Bao bì Đồng Tháp,Công ty Cổ phần Lương thực và Bao bì Đồng Tháp,"19,72%","19,72%",2.138.145.362,(2.081.334.941),2.138.145.362,(2.081.334.941),0.1972,0.1972,2138145362.0,-2081334941.0,2138145362.0,-2081334941.0
Công ty Cổ phần Bột mì Bình An,Công ty Cổ phần Bột mì Bình An,Công ty Cổ phần Bột mì Bình An,"19,92%","19,92%",23.903.329.999,(23.903.329.999),23.903.329.999,(23.903.329.999),0.19920000000000002,0.19920000000000002,23903329999.0,-23903329999.0,23903329999.0,-23903329999.0
Công ty Cổ phần Bao bì Bình Tây,Công ty Cổ phần Bao bì Bình Tây,Công ty Cổ phần Bao bì Bình Tây,"18,18%","18,18%",8.099.972.170,(218.346.613),8.099.972.170,(176.766.811),0.1818,0.1818,8099972170.0,-218346613.0,8099972170.0,-176766811.0
Công ty TNHH Thương mại Dịch vụ Đồng Thịnh,Công ty TNHH Thương mại Dịch vụ Đồng Thịnh,Công ty TNHH Thương mại Dịch vụ Đồng Thịnh,"15,00%","15,00%",10.577.034.161,-,10.577.034.161,(2.263.206.072),0.15,0.15,10577034161.0,,10577034161.0,-2263206072.0
Tổng Công ty Cổ phần Bia rượu và Nước Giải khát Sài Gòn,Tổng Công ty Cổ phần Bia rượu và Nước Giải khát Sài Gòn,Tổng Công ty Cổ phần Bia rượu và Nước Giải khát Sài Gòn,,,14.102.287,-,14.102.287,-,,,14102287.0,,14102287.0,
Cổ phiếu Công ty Cổ phần Sữa Việt Nam,Cổ phiếu Công ty Cổ phần Sữa Việt Nam,Cổ phiếu Công ty Cổ phần Sữa Việt Nam,,,5.020.816,-,5.020.816,-,,,5020816.0,,5020816.0,
