row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Chênh lệch đánh giá lại tài sản (**),Quỹ đầu tư phát triển,Quỹ khác thuộc Vốn chủ sở hữu (*),Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Chênh lệch đánh giá lại tài sản (**),numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc Vốn chủ sở hữu (*),numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng
Số dư tại 01/01/2022,Số dư tại 01/01/2022,Số dư tại 01/01/2022,5.000.000.000.000,2.890.194.878,11.899.212.999,(215.070.235.809),87.656.357.519,231.825.797.290,(2.806.911.034.195),182.577.850.836,2.494.868.143.518,5000000000000.0,2890194878.0,11899212999.0,-215070235809.0,87656357519.0,231825797290.0,-2806911034195.0,182577850836.0,2494868143518.0
Lãi/Lỗ trong năm trước,Lãi/Lỗ trong năm trước,Lãi/Lỗ trong năm trước,-,-,-,-,-,-,(9.224.141.818),30.332.554.202,21.108.412.384,,,,,,,-9224141818.0,30332554202.0,21108412384.0
Phân phối lợi nhuận (Chia cổ tức bằng cổ phiếu),Phân phối lợi nhuận (Chia cổ tức bằng cổ phiếu),Phân phối lợi nhuận (Chia cổ tức bằng cổ phiếu),,-,5.158.009.800,-,-,-,(5.158.009.800),-,-,,,5158009800.0,,,,-5158009800.0,,
Chia cổ tức bằng nguồn từ Quỹ đầu tư phát triển,Chia cổ tức bằng nguồn từ Quỹ đầu tư phát triển,Chia cổ tức bằng nguồn từ Quỹ đầu tư phát triển,-,-,5.055.910.200,-,(5.055.910.200),-,-,-,-,,,5055910200.0,,-5055910200.0,,,,
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,,-,-,-,4.316.916.237,-,(4.316.916.237),-,-,,,,,4316916237.0,,-4316916237.0,,
Trích quỹ khen thưởng ban điều hành,Trích quỹ khen thưởng ban điều hành,Trích quỹ khen thưởng ban điều hành,-,-,-,-,-,-,(7.955.047.804),(6.499.233.102),(14.454.280.906),,,,,,,-7955047804.0,-6499233102.0,-14454280906.0
Trích quỹ từ thiện,Trích quỹ từ thiện,Trích quỹ từ thiện,-,-,-,-,-,-,(339.806.331),(260.193.669),(600.000.000),,,,,,,-339806331.0,-260193669.0,-600000000.0
Trích thù lao HĐQT,Trích thù lao HĐQT,Trích thù lao HĐQT,-,-,-,-,-,-,(137.249.441),-,(137.249.441),,,,,,,-137249441.0,,-137249441.0
Chi trả cổ tức,Chi trả cổ tức,Chi trả cổ tức,-,-,-,-,-,-,-,(39.803.858.960),(39.803.858.960),,,,,,,,-39803858960.0,-39803858960.0
Điều chuyển Quỹ,Điều chuyển Quỹ,Điều chuyển Quỹ,-,-,-,-,(55.182.000.000),-,55.182.000.000,-,-,,,,,-55182000000.0,,55182000000.0,,
"Trích quỹ từ thiện, khen thưởng BĐH - Công ty liên kết","Trích quỹ từ thiện, khen thưởng BĐH - Công ty liên kết","Trích quỹ từ thiện, khen thưởng BĐH - Công ty liên kết",-,-,-,-,-,-,(931.894.921),-,(931.894.921),,,,,,,-931894921.0,,-931894921.0
Tăng/giảm do thanh lý công ty liên kết,Tăng/giảm do thanh lý công ty liên kết,Tăng/giảm do thanh lý công ty liên kết,-,-,-,209.296.521,-,-,(8.064.780.966),-,(7.855.484.445),,,,209296521.0,,,-8064780966.0,,-7855484445.0
Tăng/giảm khác,Tăng/giảm khác,Tăng/giảm khác,-,-,-,-,-,-,2.697.410.164,(1),2.697.410.163,,,,,,,2697410164.0,-1.0,2697410163.0
Số dư tại 31/12/2022,Số dư tại 31/12/2022,Số dư tại 31/12/2022,5.000.000.000.000,2.890.194.878,22.113.132.999,(214.860.939.288),31.735.363.556,231.825.797.290,(2.785.957.282.289),166.347.119.306,2.454.093.386.452,5000000000000.0,2890194878.0,22113132999.0,-214860939288.0,31735363556.0,231825797290.0,-2785957282289.0,166347119306.0,2454093386452.0
Số dư tại 01/01/2023,Số dư tại 01/01/2023,Số dư tại 01/01/2023,5.000.000.000.000,2.890.194.878,22.113.132.999,(214.860.939.288),31.735.363.556,231.825.797.290,(2.785.957.282.289),166.347.119.306,2.454.093.386.452,5000000000000.0,2890194878.0,22113132999.0,-214860939288.0,31735363556.0,231825797290.0,-2785957282289.0,166347119306.0,2454093386452.0
Lãi/Lỗ trong kỳ này,Lãi/Lỗ trong kỳ này,Lãi/Lỗ trong kỳ này,-,-,-,-,-,-,23.130.176.416,39.211.855.133,62.342.031.549,,,,,,,23130176416.0,39211855133.0,62342031549.0
Phân loại quỹ đầu tư phát triển sang Quỹ khác vốn chủ sở hữu,Phân loại quỹ đầu tư phát triển sang Quỹ khác vốn chủ sở hữu,Phân loại quỹ đầu tư phát triển sang Quỹ khác vốn chủ sở hữu,-,-,-,-,-,-,-,-,-,,,,,,,,,
Trích quỹ đầu tư phát triển,Phân loại quỹ đầu tư phát triển sang Quỹ khác vốn chủ sở hữu > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,,,-,-,3.424.974.212,-,(3.424.974.212),-,-,,,,,3424974212.0,,-3424974212.0,,
Trích quỹ khen thưởng ban điều hành,Phân loại quỹ đầu tư phát triển sang Quỹ khác vốn chủ sở hữu > Trích quỹ khen thưởng ban điều hành,Trích quỹ khen thưởng ban điều hành,-,-,-,-,-,-,(8.870.166.743),(7.960.116.184),(16.830.282.927),,,,,,,-8870166743.0,-7960116184.0,-16830282927.0
Trích quỹ từ thiện,Phân loại quỹ đầu tư phát triển sang Quỹ khác vốn chủ sở hữu > Trích quỹ từ thiện,Trích quỹ từ thiện,-,-,-,-,-,-,(339.806.331),(260.193.669),(600.000.000),,,,,,,-339806331.0,-260193669.0,-600000000.0
Trích thù lao HĐQT,Phân loại quỹ đầu tư phát triển sang Quỹ khác vốn chủ sở hữu > Trích thù lao HĐQT,Trích thù lao HĐQT,-,-,-,-,-,-,(286.000.000),-,(286.000.000),,,,,,,-286000000.0,,-286000000.0
Chi trả cổ tức,Phân loại quỹ đầu tư phát triển sang Quỹ khác vốn chủ sở hữu > Chi trả cổ tức,Chi trả cổ tức,-,-,-,-,-,-,-,(31.782.463.740),(31.782.463.740),,,,,,,,-31782463740.0,-31782463740.0
