row_label_raw,row_label_full,Công ty,Địa chỉ,Hoạt động chính,Tỷ lệ góp vốn,Tỷ lệ biểu quyết,numeric__Địa chỉ,numeric__Hoạt động chính,numeric__Tỷ lệ góp vốn,numeric__Tỷ lệ biểu quyết
Công ty Con,Công ty Con,Công ty Con,Công ty Con,Công ty Con,Công ty Con,Công ty Con,,,,
Công ty Cổ phần Sài Gòn Lương Thực,Công ty Con > Công ty Cổ phần Sài Gòn Lương Thực,Công ty Cổ phần Sài Gòn Lương Thực,Tp. Hồ Chí Minh,"Sản xuất, chế biến lương thực, dịch vụ xuất nhập khẩu",51%,51%,,,0.51,0.51
Công ty Cổ phần Lương thực Nam Trung Bộ,Công ty Con > Công ty Cổ phần Lương thực Nam Trung Bộ,Công ty Cổ phần Lương thực Nam Trung Bộ,Ninh Thuận,"Sản xuất, chế biến lương thực, dịch vụ xuất nhập khẩu","66,27%","66,27%",,,0.6627,0.6627
Công ty Cổ phần Lương thực Thực phẩm Safoco,Công ty Con > Công ty Cổ phần Lương thực Thực phẩm Safoco,Công ty Cổ phần Lương thực Thực phẩm Safoco,Tp. Hồ Chí Minh,"Sản xuất, chế biến thực phẩm, kinh doanh thương mại","51,30%","51,30%",,,0.513,0.513
Công ty Cổ phần Bao bì Tiền Giang,Công ty Con > Công ty Cổ phần Bao bì Tiền Giang,Công ty Cổ phần Bao bì Tiền Giang,Tiền Giang,"Sản xuất và kinh doanh, xuất nhập khẩu bao bì","60,00%","60,00%",,,0.6,0.6
Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,Công ty Con > Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,Cà Mau,"Kinh doanh nông sản, thực phẩm","62,05%","62,05%",,,0.6204999999999999,0.6204999999999999
Công ty Cổ phần Tô Châu,Công ty Con > Công ty Cổ phần Tô Châu,Công ty Cổ phần Tô Châu,Đồng Tháp,"Sản xuất và kinh doanh bia, cồn, rượu và nước giải khát","65,04%","65,04%",,,0.6504000000000001,0.6504000000000001
Công ty Cổ phần Lương thực Bình Định,Công ty Con > Công ty Cổ phần Lương thực Bình Định,Công ty Cổ phần Lương thực Bình Định,Bình Định,"Sản xuất, chế biến lương thực","51,00%","51,00%",,,0.51,0.51
Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Công ty Con > Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Long An,"Sản xuất, chế biến lương thực, thực phẩm","60,00%","60,00%",,,0.6,0.6
Công ty Cổ phần Lương thực Quảng Ngãi,Công ty Con > Công ty Cổ phần Lương thực Quảng Ngãi,Công ty Cổ phần Lương thực Quảng Ngãi,Quảng Ngãi,"Sản xuất, chế biến, kinh doanh lương thực","51,00%","51,00%",,,0.51,0.51
Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Con > Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Tp. Hồ Chí Minh,"Sản xuất, chế biến, kinh doanh lương thực, thương mại","59,78%","59,78%",,,0.5978,0.5978
Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Con > Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Kiên Giang,"Sản xuất, chế biến, kinh doanh lương thực, thương mại","83,31%","83,31%",,,0.8331000000000001,0.8331000000000001
Công ty Cổ phần Lương thực Hậu Giang,Công ty Con > Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Hậu Giang,Đã phá sản theo QĐ 01/2020/QĐPS-TA ngày 22/9/2020 của TAND tỉnh Hậu Giang,"53,28%","53,28%",,,0.5328,0.5328
Đầu tư vào Công ty liên doanh liên kết,Đầu tư vào Công ty liên doanh liên kết,Đầu tư vào Công ty liên doanh liên kết,Đầu tư vào Công ty liên doanh liên kết,Đầu tư vào Công ty liên doanh liên kết,Đầu tư vào Công ty liên doanh liên kết,Đầu tư vào Công ty liên doanh liên kết,,,,
Công ty Cổ phần Lương thực Thực phẩm Colusa -Miliket,Đầu tư vào Công ty liên doanh liên kết > Công ty Cổ phần Lương thực Thực phẩm Colusa -Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa -Miliket,Tp. Hồ Chí Minh,Sản xuất mì ăn liền truyền thống và các mặt hàng gia vị,"30,72%","30,72%",,,0.3072,0.3072
