row_label_raw,row_label_full,col_0,CHỈ TIÊU,MS,TM,Năm 2023VND,Năm 2022VND,numeric__CHỈ TIÊU,numeric__MS,numeric__TM,numeric__Năm 2023VND,numeric__Năm 2022VND
I.,I.,I.,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,,92.348.025.923,47.605.924.015,,1.0,,92348025923.0,47605924015.0
2.,2.,2.,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,,
,,,- Khấu hao tài sản cố định và BĐS đầu tư,02,,149.558.671.504,153.366.716.854,,2.0,,149558671504.0,153366716854.0
,,,- Các khoản dự phòng,03,,57.624.412.627,(79.965.709.182),,3.0,,57624412627.0,-79965709182.0
,,,"- Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện",04,,(57.919.417.450),4.239.254.890,,4.0,,-57919417450.0,4239254890.0
,,,"- Lãi, lỗ từ hoạt động đầu tư",05,,(26.353.602.522),(69.705.008.136),,5.0,,-26353602522.0,-69705008136.0
,,,- Chi phí lãi vay,06,,184.769.418.416,128.535.434.290,,6.0,,184769418416.0,128535434290.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,400.027.508.498,184.076.612.731,,8.0,,400027508498.0,184076612731.0
,,,"- Tăng, giảm các khoản phải thu",09,,1.475.692.845.839,(1.206.017.131.906),,9.0,,1475692845839.0,-1206017131906.0
,,,"- Tăng, giảm hàng tồn kho",10,,(198.056.842.999),244.838.111.033,,10.0,,-198056842999.0,244838111033.0
,,,"- Tăng, giảm các khoản phải trả",11,,(1.235.472.930.661),1.374.401.843.075,,11.0,,-1235472930661.0,1374401843075.0
,,,"- Tăng, giảm chi phí trả trước",12,,(8.401.390.105),1.901.667.715,,12.0,,-8401390105.0,1901667715.0
,,,- Tiền lãi vay đã trả,14,,(176.446.819.233),(120.479.541.206),,14.0,,-176446819233.0,-120479541206.0
,,,- Thuế thu nhập doanh nghiệp đã nộp,15,,(25.719.398.616),(19.168.004.581),,15.0,,-25719398616.0,-19168004581.0
,,,- Tiền chỉ khác từ hoạt động kinh doanh,17,,(2.977.841.678),(22.079.310.490),,17.0,,-2977841678.0,-22079310490.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,228.645.131.045,437.474.246.371,,20.0,,228645131045.0,437474246371.0
II.,II.,II.,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1.,II. > 1.,1.,"Tiền chỉ đề mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,(52.935.604.939),(28.046.733.749),,21.0,,-52935604939.0,-28046733749.0
2.,II. > 2.,2.,"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,14.315.461.311,8.460.356.857,,22.0,,14315461311.0,8460356857.0
3.,II. > 3.,3.,"Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác",23,,(117.500.000.000),(177.500.000.000),,23.0,,-117500000000.0,-177500000000.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,134.500.000.000,218.500.000.000,,24.0,,134500000000.0,218500000000.0
6.,II. > 6.,6.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,-,117.052.633.381,,26.0,,,117052633381.0
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,16.139.532.142,13.182.779.479,,27.0,,16139532142.0,13182779479.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(5.480.611.486),151.649.035.968,,30.0,,-5480611486.0,151649035968.0
