row_label_raw,row_label_full,col_0,NGUỒN VỐN,MS,TM,31/12/2023VND,01/01/2023VND,numeric__NGUỒN VỐN,numeric__MS,numeric__TM,numeric__31/12/2023VND,numeric__01/01/2023VND
C-,C-,C-,NỘ PHẢI TRẢ (300=310+330),300,,3.768.620.957.268,6.072.965.949.994,,300.0,,3768620957268.0,6072965949994.0
I.,I.,I.,Nợ ngắn hạn,310,,2.393.629.097.486,4.700.779.490.962,,310.0,,2393629097486.0,4700779490962.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,5.18,450.622.258.267,1.613.337.402.957,,311.0,518.0,450622258267.0,1613337402957.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,5.19,89.697.807.357,121.259.196.631,,312.0,519.0,89697807357.0,121259196631.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,5.20,28.688.825.751,24.857.217.777,,313.0,520.0,28688825751.0,24857217777.0
4.,4.,4.,Phải trả người lao động,314,,86.456.312.935,75.324.903.645,,314.0,,86456312935.0,75324903645.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,5.21,74.594.994.610,64.539.765.985,,315.0,521.0,74594994610.0,64539765985.0
8.,8.,8.,Doanh thu chưa thực hiện ngắn hạn,318,5.22,14.391.778.850,13.429.248.348,,318.0,522.0,14391778850.0,13429248348.0
9.,9.,9.,Phải trả ngắn hạn khác,319,5.23,182.053.944.179,210.849.564.315,,319.0,523.0,182053944179.0,210849564315.0
10.,10.,10.,Vay và nợ thuê tài chính ngắn hạn,320,5.24,1.392.820.458.522,2.553.095.604.838,,320.0,524.0,1392820458522.0,2553095604838.0
11.,11.,11.,Dự phòng phải trả ngắn hạn,321,,54.955.293.578,1.357.193.092,,321.0,,54955293578.0,1357193092.0
12.,12.,12.,Quỹ khen thưởng phúc lợi,322,,19.347.423.437,22.729.393.374,,322.0,,19347423437.0,22729393374.0
II.,II.,II.,Nợ dài hạn,330,,1.374.991.859.782,1.372.186.459.032,,330.0,,1374991859782.0,1372186459032.0
6.,6.,6.,Doanh thu chưa thực hiện dài hạn,336,5.22,25.738.015.862,40.469.253.318,,336.0,522.0,25738015862.0,40469253318.0
7.,7.,7.,Phải trả dài hạn khác,337,5.23,1.236.481.821.070,1.218.348.239.859,,337.0,523.0,1236481821070.0,1218348239859.0
8.,8.,8.,Vay và nợ thuê tài chính dài hạn,338,5.24,5.715.996.741,7.215.541.941,,338.0,524.0,5715996741.0,7215541941.0
11.,11.,11.,Thuế thu nhập hoãn lại phải trả,341,5.16,107.056.026.109,106.153.423.914,,341.0,516.0,107056026109.0,106153423914.0
D-,D-,D-,VỐN CHỦ SỞ HỮU(400 = 410+430),400,,2.464.117.206.017,2.454.093.386.452,,400.0,,2464117206017.0,2454093386452.0
I-,I-,I-,Vốn chủ sở hữu,410,5.25,2.464.117.206.017,2.454.093.386.452,,410.0,525.0,2464117206017.0,2454093386452.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,5.000.000.000.000,5.000.000.000.000,,411.0,,5000000000000.0,5000000000000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,5.000.000.000.000,5.000.000.000.000,,,,5000000000000.0,5000000000000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,2.890.194.878,2.890.194.878,,412.0,,2890194878.0,2890194878.0
3.,3.,3.,Vốn khác của chủ sở hữu,414,,22.113.132.999,22.113.132.999,,414.0,,22113132999.0,22113132999.0
5.,5.,5.,Chênh lệch đánh giá tài sản,416,,(214.860.939.288),(214.860.939.288),,416.0,,-214860939288.0,-214860939288.0
7.,7.,7.,Quỹ đầu tư phát triển,418,,35.160.337.768,31.735.363.556,,418.0,,35160337768.0,31735363556.0
9.,9.,9.,Quỹ khác thuộc vốn chủ sở hữu,420,,231.825.797.290,231.825.797.290,,420.0,,231825797290.0,231825797290.0
10.,10.,10.,Lỗ lũy kế,421,,(2.778.568.128.755),(2.785.957.282.289),,421.0,,-2778568128755.0,-2785957282289.0
,,,LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,(2.801.698.305.171),(2.776.733.140.471),,,,-2801698305171.0,-2776733140471.0
,,,- LNST chưa phân phối kỳ này,421b,,23.130.176.416,(9.224.141.818),,,,23130176416.0,-9224141818.0
13,13,13,Lợi ích cổ đông không kiểm soát,429,,165.556.811.125,166.347.119.306,,429.0,,165556811125.0,166347119306.0
II-,II-,II-,Nguồn kinh phí và quỹ khác,430,,-,-,,430.0,,,
TỔNG CỘNG NGUỒN VỐN(440 = 300+400),TỔNG CỘNG NGUỒN VỐN(440 = 300+400),TỔNG CỘNG NGUỒN VỐN(440 = 300+400),TỔNG CỘNG NGUỒN VỐN(440 = 300+400),440,,6.232.738.163.285,8.527.059.336.446,,440.0,,6232738163285.0,8527059336446.0
