row_label_raw,row_label_full,"MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh","MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > Nhà cửa,vật kiến trúc","MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > Máy móc,thiết bị","MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > Phương tiện vântải, truyền dẫn","MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > Thiết bị,dụng cụ quản lý","MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > TSCĐ hữuhình khác","MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > Đơn vị tính: VNDTổng","numeric__MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > Nhà cửa,vật kiến trúc","numeric__MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > Máy móc,thiết bị","numeric__MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > Phương tiện vântải, truyền dẫn","numeric__MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > Thiết bị,dụng cụ quản lý","numeric__MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > TSCĐ hữuhình khác","numeric__MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > Đơn vị tính: VNDTổng"
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư tại 01/01/2023,NGUYÊN GIÁ > Số dư tại 01/01/2023,Số dư tại 01/01/2023,3.385.600.802.656,2.355.155.428.510,291.246.067.321,59.028.301.949,36.657.998.062,6.127.688.598.498,3385600802656.0,2355155428510.0,291246067321.0,59028301949.0,36657998062.0,6127688598498.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,17.442.950.980,56.304.140.346,6.890.237.393,507.863.636,-,81.145.192.355,17442950980.0,56304140346.0,6890237393.0,507863636.0,,81145192355.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,1.284.279.307,14.616.891.981,5.713.682.219,261.863.636,-,21.876.717.143,1284279307.0,14616891981.0,5713682219.0,261863636.0,,21876717143.0
Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,16.158.671.673,41.687.248.365,1.176.555.174,246.000.000,-,59.268.475.212,16158671673.0,41687248365.0,1176555174.0,246000000.0,,59268475212.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,11.252.646.294,80.915.968.428,13.256.594.403,1.300.292.418,33.163.394,106.758.664.937,11252646294.0,80915968428.0,13256594403.0,1300292418.0,33163394.0,106758664937.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",8.675.933.383,80.915.968.428,13.256.594.403,1.300.292.418,33.163.394,104.181.952.026,8675933383.0,80915968428.0,13256594403.0,1300292418.0,33163394.0,104181952026.0
Tháo dỡ,NGUYÊN GIÁ > Tháo dỡ,Tháo dỡ,183.547.407,-,-,-,-,183.547.407,183547407.0,,,,,183547407.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,2.393.165.504,-,-,-,-,2.393.165.504,2393165504.0,,,,,2393165504.0
Số dư tại 31/12/2023,NGUYÊN GIÁ > Số dư tại 31/12/2023,Số dư tại 31/12/2023,3.391.791.107.342,2.330.543.600.428,284.879.710.311,58.235.873.167,36.624.834.668,6.102.075.125.916,3391791107342.0,2330543600428.0,284879710311.0,58235873167.0,36624834668.0,6102075125916.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư tại 01/01/2023,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2023,Số dư tại 01/01/2023,2.182.147.994.875,1.735.770.194.358,248.427.735.718,53.401.902.767,32.322.018.989,4.252.069.846.707,2182147994875.0,1735770194358.0,248427735718.0,53401902767.0,32322018989.0,4252069846707.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,68.132.908.428,157.529.329.611,15.743.485.718,1.100.186.124,429.254.240,242.935.164.121,68132908428.0,157529329611.0,15743485718.0,1100186124.0,429254240.0,242935164121.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,68.132.908.428,65.501.857.706,10.607.241.745,1.100.186.124,429.254.240,145.771.448.243,68132908428.0,65501857706.0,10607241745.0,1100186124.0,429254240.0,145771448243.0
