row_label_raw,row_label_full,col_0,31/12/2023 (VND) > Giá trị ghi sổ,31/12/2023 (VND) > Số có khả năng trả nợ,01/01/2023 (VND) > Giá trị ghi sổ,01/01/2023 (VND) > Số có khả năng trả nợ,numeric__31/12/2023 (VND) > Giá trị ghi sổ,numeric__31/12/2023 (VND) > Số có khả năng trả nợ,numeric__01/01/2023 (VND) > Giá trị ghi sổ,numeric__01/01/2023 (VND) > Số có khả năng trả nợ
Ngắn hạn,Ngắn hạn,Ngắn hạn,450.622.258.267,450.622.258.267,1.613.337.402.957,1.613.337.402.957,450622258267.0,450622258267.0,1613337402957.0,1613337402957.0
Công ty TNHH Sản xuất Thương mại Thảo Minh Châu,Công ty TNHH Sản xuất Thương mại Thảo Minh Châu,Công ty TNHH Sản xuất Thương mại Thảo Minh Châu,-,-,94.003.718,94.003.718,,,94003718.0,94003718.0
Val Win Trading,Val Win Trading,Val Win Trading,16.037.667.798,16.037.667.798,13.080.842.474,13.080.842.474,16037667798.0,16037667798.0,13080842474.0,13080842474.0
Công ty Cổ phần Sửa Việt Nam - Chi nhánh Cần Thơ,Công ty Cổ phần Sửa Việt Nam - Chi nhánh Cần Thơ,Công ty Cổ phần Sửa Việt Nam - Chi nhánh Cần Thơ,32.179.957.198,32.179.957.198,32.509.244.231,32.509.244.231,32179957198.0,32179957198.0,32509244231.0,32509244231.0
Siam Golden Rice Company Limited,Siam Golden Rice Company Limited,Siam Golden Rice Company Limited,95.042.640.000,95.042.640.000,-,-,95042640000.0,95042640000.0,,
Công ty Cổ phần Chế biến Xuất nhập khẩu Ngọc Thiên Hương,Công ty Cổ phần Chế biến Xuất nhập khẩu Ngọc Thiên Hương,Công ty Cổ phần Chế biến Xuất nhập khẩu Ngọc Thiên Hương,148.488.493.500,148.488.493.500,-,-,148488493500.0,148488493500.0,,
Công ty Cổ phần Chế biến Xuất khẩu Gạo Ngọc Hân Lê,Công ty Cổ phần Chế biến Xuất khẩu Gạo Ngọc Hân Lê,Công ty Cổ phần Chế biến Xuất khẩu Gạo Ngọc Hân Lê,79.195.000.000,79.195.000.000,-,-,79195000000.0,79195000000.0,,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,79.678.499.771,79.678.499.771,1.567.653.312.534,1.567.653.312.534,79678499771.0,79678499771.0,1567653312534.0,1567653312534.0
Tổng,Tổng,Tổng,450.622.258.267,450.622.258.267,1.613.337.402.957,1.613.337.402.957,450622258267.0,450622258267.0,1613337402957.0,1613337402957.0
5.19 Người mua ứng tiền trước,5.19 Người mua ứng tiền trước,5.19 Người mua ứng tiền trước,5.19 Người mua ứng tiền trước,5.19 Người mua ứng tiền trước,5.19 Người mua ứng tiền trước,5.19 Người mua ứng tiền trước,,,,
,,,31/12/2023 VND,01/01/2023 VND,,,,,,
FNJ Investment Limited,5.19 Người mua ứng tiền trước > FNJ Investment Limited,FNJ Investment Limited,15.452.353.164,14.325.350.420,,,15452353164.0,14325350420.0,,
Công ty cổ phần Tập đoàn Tân Hoàng Long,5.19 Người mua ứng tiền trước > Công ty cổ phần Tập đoàn Tân Hoàng Long,Công ty cổ phần Tập đoàn Tân Hoàng Long,-,6.261.190.950,,,,6261190950.0,,
Công ty Cổ phần Lương thực Hậu Giang,5.19 Người mua ứng tiền trước > Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,9.500.000.000,9.500.000.000,,,9500000000.0,9500000000.0,,
Công ty TNHH XNK Thương mại Võ Thị Thu Hà,5.19 Người mua ứng tiền trước > Công ty TNHH XNK Thương mại Võ Thị Thu Hà,Công ty TNHH XNK Thương mại Võ Thị Thu Hà,3.803.625.000,3.803.625.000,,,3803625000.0,3803625000.0,,
Công ty TNHH Xuất Nhập Khẩu Vimex,5.19 Người mua ứng tiền trước > Công ty TNHH Xuất Nhập Khẩu Vimex,Công ty TNHH Xuất Nhập Khẩu Vimex,5.277.200.000,2.676.311.820,,,5277200000.0,2676311820.0,,
Syarikat Pelangi Tinggi,5.19 Người mua ứng tiền trước > Syarikat Pelangi Tinggi,Syarikat Pelangi Tinggi,10.594.208.743,26.138.522.867,,,10594208743.0,26138522867.0,,
Timor Food Unipessoal LDA,5.19 Người mua ứng tiền trước > Timor Food Unipessoal LDA,Timor Food Unipessoal LDA,89.182.470,16.234.033.000,,,89182470.0,16234033000.0,,
Các khách hàng khác,5.19 Người mua ứng tiền trước > Các khách hàng khác,Các khách hàng khác,44.981.237.980,42.320.162.574,,,44981237980.0,42320162574.0,,
Tổng,5.19 Người mua ứng tiền trước > Tổng,Tổng,89.697.807.357,121.259.196.631,,,89697807357.0,121259196631.0,,
Trong đó Người mua ứng tiền trước là các bên liên quan được trình bày tại Thuyết minh 7.1,5.19 Người mua ứng tiền trước > Trong đó Người mua ứng tiền trước là các bên liên quan được trình bày tại Thuyết minh 7.1,Trong đó Người mua ứng tiền trước là các bên liên quan được trình bày tại Thuyết minh 7.1,9.500.000.000,9.500.000.000,,,9500000000.0,9500000000.0,,
