row_label_raw,row_label_full,col_0,Giá trị giao dịch cho,Giá trị giao dịch cho_1,numeric__Giá trị giao dịch cho,numeric__Giá trị giao dịch cho_1
,,,2019VND,2018VND,,
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,,
Thanh toán gốc vay bằng cách cần trừ với khoản phải thu khách hàng,Tập đoàn Điện lực Việt Nam > Thanh toán gốc vay bằng cách cần trừ với khoản phải thu khách hàng,Thanh toán gốc vay bằng cách cần trừ với khoản phải thu khách hàng,1.756.337.884.046,1.711.597.576.778,1756337884046.0,1711597576778.0
Thanh toán chi phí lãi vay bằng cách cần trừ với khoản phải thu khách hàng,Tập đoàn Điện lực Việt Nam > Thanh toán chi phí lãi vay bằng cách cần trừ với khoản phải thu khách hàng,Thanh toán chi phí lãi vay bằng cách cần trừ với khoản phải thu khách hàng,374.559.579.840,468.776.857.634,374559579840.0,468776857634.0
Chi phí lãi vay và phí vay lại của các khoản vay,Tập đoàn Điện lực Việt Nam > Chi phí lãi vay và phí vay lại của các khoản vay,Chi phí lãi vay và phí vay lại của các khoản vay,353.387.747.626,442.220.411.162,353387747626.0,442220411162.0
Phí bảo lãnh khoản vay dài hạn,Tập đoàn Điện lực Việt Nam > Phí bảo lãnh khoản vay dài hạn,Phí bảo lãnh khoản vay dài hạn,21.171.832.214,26.556.446.472,21171832214.0,26556446472.0
Mua điện,Tập đoàn Điện lực Việt Nam > Mua điện,Mua điện,18.577.091.385,21.846.934.066,18577091385.0,21846934066.0
Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,,
Tổng Công ty Phát điện 2 – Công ty TNHH Một Thành Viên,Tổng Công ty Phát điện 2 – Công ty TNHH Một Thành Viên,Tổng Công ty Phát điện 2 – Công ty TNHH Một Thành Viên,Tổng Công ty Phát điện 2 – Công ty TNHH Một Thành Viên,Tổng Công ty Phát điện 2 – Công ty TNHH Một Thành Viên,,
Cổ tức đã trả,Tổng Công ty Phát điện 2 – Công ty TNHH Một Thành Viên > Cổ tức đã trả,Cổ tức đã trả,318.750.000.000,89.250.000.000,318750000000.0,89250000000.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
Công ty Cổ phần Nhiệt điện Phả Lại,Công ty Cổ phần Nhiệt điện Phả Lại,Công ty Cổ phần Nhiệt điện Phả Lại,Công ty Cổ phần Nhiệt điện Phả Lại,Công ty Cổ phần Nhiệt điện Phả Lại,,
Cổ tức đã trả,Công ty Cổ phần Nhiệt điện Phả Lại > Cổ tức đã trả,Cổ tức đã trả,97.387.500.000,45.447.500.000,97387500000.0,45447500000.0
Cổ tức phải trả,Công ty Cổ phần Nhiệt điện Phả Lại > Cổ tức phải trả,Cổ tức phải trả,64.925.000.000,-,64925000000.0,
