row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2019VND,1/1/2019VND,,
Công ty mẹ,Công ty mẹ,Công ty mẹ,,,,
Tổng công ty Phát điện 2 – Công ty TNHH Một Thành viên,Công ty mẹ > Tổng công ty Phát điện 2 – Công ty TNHH Một Thành viên,Tổng công ty Phát điện 2 – Công ty TNHH Một Thành viên,-,28.317.940,,28317940.0
Bên liên quan – thuộc Tập đoàn Điện lực Việt Nam,Bên liên quan – thuộc Tập đoàn Điện lực Việt Nam,Bên liên quan – thuộc Tập đoàn Điện lực Việt Nam,,,,
Ban Quản lý Dự án Nhiệt điện 1,Bên liên quan – thuộc Tập đoàn Điện lực Việt Nam > Ban Quản lý Dự án Nhiệt điện 1,Ban Quản lý Dự án Nhiệt điện 1,1.038.733.359,1.038.733.359,1038733359.0,1038733359.0
Công ty TNHH MTV Thí nghiệm điện Miền Bắc,Bên liên quan – thuộc Tập đoàn Điện lực Việt Nam > Công ty TNHH MTV Thí nghiệm điện Miền Bắc,Công ty TNHH MTV Thí nghiệm điện Miền Bắc,800.000.000,410.795.658,800000000.0,410795658.0
Các bên khác,Các bên khác,Các bên khác,,,,
Tập đoàn Công nghiệp Than Khoáng sản Việt Nam,Các bên khác > Tập đoàn Công nghiệp Than Khoáng sản Việt Nam,Tập đoàn Công nghiệp Than Khoáng sản Việt Nam,239.176.995.286,161.306.297.769,239176995286.0,161306297769.0
Tổng Công ty Đông Bắc,Các bên khác > Tổng Công ty Đông Bắc,Tổng Công ty Đông Bắc,-,65.596.372.219,,65596372219.0
Công ty Cổ phần Dịch vụ Sửa chữa Nhiệt điện Miền Bắc,Các bên khác > Công ty Cổ phần Dịch vụ Sửa chữa Nhiệt điện Miền Bắc,Công ty Cổ phần Dịch vụ Sửa chữa Nhiệt điện Miền Bắc,51.162.338.481,28.440.164.737,51162338481.0,28440164737.0
Nhà thầu Marubeni,Các bên khác > Nhà thầu Marubeni,Nhà thầu Marubeni,-,13.780.432.165,,13780432165.0
Công ty CP Vật tư & Thiết bị Công nghiệp,Các bên khác > Công ty CP Vật tư & Thiết bị Công nghiệp,Công ty CP Vật tư & Thiết bị Công nghiệp,3.942.352.865,11.194.545.129,3942352865.0,11194545129.0
Viện nghiên cứu Cơ khí,Các bên khác > Viện nghiên cứu Cơ khí,Viện nghiên cứu Cơ khí,14.481.784.394,4.611.801.469,14481784394.0,4611801469.0
Công ty Cổ phần Việt Long,Các bên khác > Công ty Cổ phần Việt Long,Công ty Cổ phần Việt Long,9.256.971.826,2.755.232.577,9256971826.0,2755232577.0
Các nhà cung cấp khác,Các bên khác > Các nhà cung cấp khác,Các nhà cung cấp khác,92.950.441.270,64.140.287.348,92950441270.0,64140287348.0
,,,412.809.617.481,353.302.980.370,412809617481.0,353302980370.0
