row_label_raw,row_label_full,col_0,Vốncổ phầnVND,Thặng dưvốn cổ phầnVND,Vốn khác củachủ sở hữuVND,Chênh lệchtỷ giá hối đoaiVND,Quỹ đầu tưphát triểnVND,Lợi nhuận sauthuế chưa phânphốiVND,TổngVND,numeric__Vốncổ phầnVND,numeric__Thặng dưvốn cổ phầnVND,numeric__Vốn khác củachủ sở hữuVND,numeric__Chênh lệchtỷ giá hối đoaiVND,numeric__Quỹ đầu tưphát triểnVND,numeric__Lợi nhuận sauthuế chưa phânphốiVND,numeric__TổngVND
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,5.000.000.000.000,196.652.770.150,-,(299.059.868.312),42.411.476.002,245.607.655.679,5.185.612.033.519,5000000000000.0,196652770150.0,,-299059868312.0,42411476002.0,245607655679.0,5185612033519.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,424.884.991.712,424.884.991.712,,,,,,424884991712.0,424884991712.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,21.182.296.704,(21.182.296.704),-,,,,,21182296704.0,-21182296704.0,
Trích quỹ khen thưởngphúc lợi (Thuyết minh 19),Trích quỹ khen thưởngphúc lợi (Thuyết minh 19),Trích quỹ khen thưởngphúc lợi (Thuyết minh 19),-,-,-,-,-,(42.275.115.750),(42.275.115.750),,,,,,-42275115750.0,-42275115750.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,-,-,(175.000.000.000),(175.000.000.000),,,,,,-175000000000.0,-175000000000.0
Phân bổ chênh lệch tỷ giáhối đoái,Phân bổ chênh lệch tỷ giáhối đoái,Phân bổ chênh lệch tỷ giáhối đoái,-,-,-,299.059.868.312,-,-,299.059.868.312,,,,299059868312.0,,,299059868312.0
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,5.000.000.000.000,196.652.770.150,-,-,63.593.772.706,432.035.234.937,5.692.281.777.793,5000000000000.0,196652770150.0,,,63593772706.0,432035234937.0,5692281777793.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,1.172.708.215.593,1.172.708.215.593,,,,,,1172708215593.0,1172708215593.0
Trích quỹ khen thưởngphúc lợi (Thuyết minh 19),Trích quỹ khen thưởngphúc lợi (Thuyết minh 19),Trích quỹ khen thưởngphúc lợi (Thuyết minh 19),-,-,-,-,-,(40.801.007.083),(40.801.007.083),,,,,,-40801007083.0,-40801007083.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,-,-,(625.000.000.000),(625.000.000.000),,,,,,-625000000000.0,-625000000000.0
Điều chuyển nguồn vốn,Điều chuyển nguồn vốn,Điều chuyển nguồn vốn,-,-,158.280.000,-,(158.280.000),-,-,,,158280000.0,,-158280000.0,,
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,5.000.000.000.000,196.652.770.150,158.280.000,-,63.435.492.706,938.942.443.447,6.199.188.986.303,5000000000000.0,196652770150.0,158280000.0,,63435492706.0,938942443447.0,6199188986303.0
