row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2019 VND,2018 VND,numeric__Mã số,numeric__Thuyết minh,numeric__2019 VND,numeric__2018 VND
Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,01,25,11.301.249.817.229,9.526.837.664.176,1.0,25.0,11301249817229.0,9526837664176.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,26,9.544.862.488.217,7.934.537.762.630,11.0,26.0,9544862488217.0,7934537762630.0
Lợi nhuận gộp (20 = 01 - 11),Lợi nhuận gộp (20 = 01 - 11),Lợi nhuận gộp (20 = 01 - 11),20,,1.756.387.329.012,1.592.299.901.546,20.0,,1756387329012.0,1592299901546.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,27,33.792.452.564,23.994.379.451,21.0,27.0,33792452564.0,23994379451.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,28,397.078.992.315,997.368.043.370,22.0,28.0,397078992315.0,997368043370.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,383.050.098.856,503.522.885.335,23.0,,383050098856.0,503522885335.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,29,153.221.891.424,169.278.235.719,26.0,29.0,153221891424.0,169278235719.0
Lợi nhuận thuần từ hoạt động kinh doanh (30 = 20 + 21 - 22 - 26),Lợi nhuận thuần từ hoạt động kinh doanh (30 = 20 + 21 - 22 - 26),Lợi nhuận thuần từ hoạt động kinh doanh (30 = 20 + 21 - 22 - 26),30,,1.239.878.897.837,449.648.001.908,30.0,,1239878897837.0,449648001908.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,,7.028.158.775,3.204.849.252,31.0,,7028158775.0,3204849252.0
Chi phí khác,Chi phí khác,Chi phí khác,32,,4.696.443.852,4.107.992.976,32.0,,4696443852.0,4107992976.0
Kết quả từ hoạt động khác (40 = 31 - 32),Kết quả từ hoạt động khác (40 = 31 - 32),Kết quả từ hoạt động khác (40 = 31 - 32),40,,2.331.714.923,(903.143.724),40.0,,2331714923.0,-903143724.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,1.242.210.612.760,448.744.858.184,50.0,,1242210612760.0,448744858184.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,31,69.502.397.167,23.859.866.472,51.0,31.0,69502397167.0,23859866472.0
Lợi nhuận thuần sau thuế TNDN (60 = 50 - 51),Lợi nhuận thuần sau thuế TNDN (60 = 50 - 51),Lợi nhuận thuần sau thuế TNDN (60 = 50 - 51),60,,1.172.708.215.593,424.884.991.712,60.0,,1172708215593.0,424884991712.0
Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,,,,
Lãi cơ bản trên cổ phiếu,Lãi trên cổ phiếu > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,32,2.345,850,70.0,32.0,2345.0,850.0
