row_label_raw,row_label_full,col_0,Vayngắn hạn (i)VND,Vay dài hạnđến hạn trảVND,TổngVND,numeric__Vayngắn hạn (i)VND,numeric__Vay dài hạnđến hạn trảVND,numeric__TổngVND
Giá trị ghi sổ và số có khả năngtrả nợ tại ngày 1/1/2019,Giá trị ghi sổ và số có khả năngtrả nợ tại ngày 1/1/2019,Giá trị ghi sổ và số có khả năngtrả nợ tại ngày 1/1/2019,-,1.861.337.884.045,1.861.337.884.045,,1861337884045.0,1861337884045.0
Biến động trong năm:Tăng:,Biến động trong năm:Tăng:,Biến động trong năm:Tăng:,Biến động trong năm:Tăng:,Biến động trong năm:Tăng:,Biến động trong năm:Tăng:,,,
Giải ngân mới,Biến động trong năm:Tăng: > Giải ngân mới,Giải ngân mới,1.074.462.204.493,-,1.074.462.204.493,1074462204493.0,,1074462204493.0
Chuyển từ vay dài hạn đếnhạn trả,Biến động trong năm:Tăng: > Chuyển từ vay dài hạn đếnhạn trả,Chuyển từ vay dài hạn đếnhạn trả,-,1.866.337.884.044,1.866.337.884.044,,1866337884044.0,1866337884044.0
Chênh lệch tỷ giá,Biến động trong năm:Tăng: > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,3.995.703.088,3.995.703.088,,3995703088.0,3995703088.0
Giảm:,Giảm:,Giảm:,Giảm:,Giảm:,Giảm:,,,
Thanh toán các khoản gốc vay,Giảm: > Thanh toán các khoản gốc vay,Thanh toán các khoản gốc vay,(1.074.462.204.493),(1.861.337.884.046),(2.935.800.088.539),-1074462204493.0,-1861337884046.0,-2935800088539.0
Giá trị ghi sổ và số có khả năngtrả nợ tại ngày 31/12/2019,Giảm: > Giá trị ghi sổ và số có khả năngtrả nợ tại ngày 31/12/2019,Giá trị ghi sổ và số có khả năngtrả nợ tại ngày 31/12/2019,-,1.870.333.587.131,1.870.333.587.131,,1870333587131.0,1870333587131.0
