row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Thiết bịvăn phòngVND,Phương tiệnvận chuyểnVND,Tài sánkhácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Thiết bịvăn phòngVND,numeric__Phương tiệnvận chuyểnVND,numeric__Tài sánkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,10.343.939.497.655,10.940.051.932.746,219.415.759.676,554.008.377.115,1.057.750.248,22.058.473.317.440,10343939497655.0,10940051932746.0,219415759676.0,554008377115.0,1057750248.0,22058473317440.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,19.620.043.590,473.843.000,597.636.200,-,-,20.691.522.790,19620043590.0,473843000.0,597636200.0,,,20691522790.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,10.363.559.541.245,10.940.525.775.746,220.013.395.876,554.008.377.115,1.057.750.248,22.079.164.840.230,10363559541245.0,10940525775746.0,220013395876.0,554008377115.0,1057750248.0,22079164840230.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.863.915.380.770,6.371.019.006.205,174.626.547.474,321.250.147.976,622.227.235,11.731.433.309.660,4863915380770.0,6371019006205.0,174626547474.0,321250147976.0,622227235.0,11731433309660.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,731.015.883.873,993.112.346.142,21.367.151.882,43.410.707.567,149.322.168,1.789.055.411.632,731015883873.0,993112346142.0,21367151882.0,43410707567.0,149322168.0,1789055411632.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,5.594.931.264.643,7.364.131.352.347,195.993.699.356,364.660.855.543,771.549.403,13.520.488.721.292,5594931264643.0,7364131352347.0,195993699356.0,364660855543.0,771549403.0,13520488721292.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,5.480.024.116.885,4.569.032.926.541,44.789.212.202,232.758.229.139,435.523.013,10.327.040.007.780,5480024116885.0,4569032926541.0,44789212202.0,232758229139.0,435523013.0,10327040007780.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.768.628.276.602,3.576.394.423.399,24.019.696.520,189.347.521.572,286.200.845,8.558.676.118.938,4768628276602.0,3576394423399.0,24019696520.0,189347521572.0,286200845.0,8558676118938.0
