row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,980.994.182.252,914.584.180.203,84.392.749.175,21.505.024.482,2.001.476.136.112,980994182252.0,914584180203.0,84392749175.0,21505024482.0,2001476136112.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,8.193.883.716,44.976.235.757,5.063.900.916,667.435.040,58.901.455.429,8193883716.0,44976235757.0,5063900916.0,667435040.0,58901455429.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,150.278.740.676,138.758.421.640,-,4.857.318.881,293.894.481.197,150278740676.0,138758421640.0,,4857318881.0,293894481197.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(2.696.000.000),-,-,-,(2.696.000.000),-2696000000.0,,,,-2696000000.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(13.779.148.330),(12.703.751.995),-,(26.482.900.325),,-13779148330.0,-12703751995.0,,-26482900325.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(1.431.927.926),-,(78.920.000),-,(1.510.847.926),-1431927926.0,,-78920000.0,,-1510847926.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,12.357.191.543,(13.126.259.975),440.000.000,329.068.432,-,12357191543.0,-13126259975.0,440000000.0,329068432.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.147.696.070.261,1.071.413.429.295,77.113.978.096,27.358.846.835,2.323.582.324.487,1147696070261.0,1071413429295.0,77113978096.0,27358846835.0,2323582324487.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,126.084.883.866,207.279.574.864,23.594.377.308,3.575.789.968,360.534.626.006,126084883866.0,207279574864.0,23594377308.0,3575789968.0,360534626006.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,96.848.447.019,148.619.497.397,16.635.732.836,3.166.577.934,265.270.255.186,96848447019.0,148619497397.0,16635732836.0,3166577934.0,265270255186.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(8.960.341.713),(11.094.559.391),-,(20.054.901.104),,-8960341713.0,-11094559391.0,,-20054901104.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(1.431.927.926),-,(78.920.000),-,(1.510.847.926),-1431927926.0,,-78920000.0,,-1510847926.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,4.499.370.278,(3.810.154.659),(16.731.891),(672.483.728),-,4499370278.0,-3810154659.0,-16731891.0,-672483728.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,226.000.773.237,343.128.575.889,29.039.898.862,6.069.884.174,604.239.132.162,226000773237.0,343128575889.0,29039898862.0,6069884174.0,604239132162.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,854.909.298.386,707.304.605.339,60.798.371.867,17.929.234.514,1.640.941.510.106,854909298386.0,707304605339.0,60798371867.0,17929234514.0,1640941510106.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,921.695.297.024,728.284.853.406,48.074.079.234,21.288.962.661,1.719.343.192.325,921695297024.0,728284853406.0,48074079234.0,21288962661.0,1719343192325.0
