row_label_raw,row_label_full,STT,Tên công ty,Hoạt động chính,Trụ sở,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Phần trăm lợi ích kinh tế tại ngày31/12/2017,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2017,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Phần trăm quyền biểu quyết tại ngày31/12/2017,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2017_1,numeric__Tên công ty,numeric__Hoạt động chính,numeric__Trụ sở,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Phần trăm lợi ích kinh tế tại ngày31/12/2017,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2017,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Phần trăm quyền biểu quyết tại ngày31/12/2017,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2017_1
Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,,,,,,,
1,Công ty liên kết sở hữu gián tiếp > 1,1,Công ty Cổ phần Bao bì Thuận Phát (“Thuận Phát”),(ii),"Sản xuất bao bì PP, PE và kinh doanh nguyên liệu nhựa","Phường Tân Biên, Thành phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam","25,0%","25,0%","25,0%",,,,,0.25,0.25,0.25
2,Công ty liên kết sở hữu gián tiếp > 2,2,Công ty Cổ phần Chế biến Súc sản Long Bình (“Abattoir”),(ii),"Thực hiện các hoạt động giết mổ và chế biến gia súc, gia cầm","Phường Long Bình, Thành phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam","25,0%","25,0%","25,0%",,,,,0.25,0.25,0.25
3,Công ty liên kết sở hữu gián tiếp > 3,3,Công ty Cổ phần Sản xuất Thương mại Dịch vụ Đồng Nai (“Donatraco”),(ii),Trồng cây công nghiệp và cây nông nghiệp,"75A Hà Huy Giáp, Phường Quyết Thắng, Thành phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam","21,3%","21,3%","21,3%",,,,,0.213,0.213,0.213
4,Công ty liên kết sở hữu gián tiếp > 4,4,Công ty Cổ phần Việt Nam Kỹ nghệ Súc sản (“Vissan”),(i),"Chế biến và kinh doanh thịt tươi, thực phẩm chế biến và các sản phẩm liên quan đến thịt","420 Nợ Trang Long, Phường 13, Quận Bình Thạnh, Thành phố Hồ Chí Minh","24,9%","24,9%","24,9%",,,,,0.249,0.249,0.249
