row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm vi tính VND,Thương hiệu VND,Mối quan hệ khách hàng VND,Kỹ thuật VND,Tổng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm vi tính VND,numeric__Thương hiệu VND,numeric__Mối quan hệ khách hàng VND,numeric__Kỹ thuật VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,207.411.509.016,802.298.446,1.615.000.000.000,2.413.100.000.000,566.000.000.000,4.802.313.807.462,207411509016.0,802298446.0,1615000000000.0,2413100000000.0,566000000000.0,4802313807462.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.919.225.252,-,-,-,1.919.225.252,,1919225252.0,,,,1919225252.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,54.465.326.883,55.813.133.718,-,-,-,110.278.460.601,54465326883.0,55813133718.0,,,,110278460601.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,261.876.835.899,58.534.657.416,1.615.000.000.000,2.413.100.000.000,566.000.000.000,4.914.511.493.315,261876835899.0,58534657416.0,1615000000000.0,2413100000000.0,566000000000.0,4914511493315.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,10.112.539.170,761.502.022,158.524.999.998,244.971.250.002,209.950.000.005,624.320.291.197,10112539170.0,761502022.0,158524999998.0,244971250002.0,209950000005.0,624320291197.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,6.148.035.101,4.161.308.790,80.750.000.004,120.654.999.996,113.200.000.008,324.914.343.899,6148035101.0,4161308790.0,80750000004.0,120654999996.0,113200000008.0,324914343899.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,16.260.574.271,4.922.810.812,239.275.000.002,365.626.249.998,323.150.000.013,949.234.635.096,16260574271.0,4922810812.0,239275000002.0,365626249998.0,323150000013.0,949234635096.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,197.298.969.846,40.796.424,1.456.475.000.002,2.168.128.749.998,356.049.999.995,4.177.993.516.265,197298969846.0,40796424.0,1456475000002.0,2168128749998.0,356049999995.0,4177993516265.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,245.616.261.628,53.611.846.604,1.375.724.999.998,2.047.473.750.002,242.849.999.987,3.965.276.858.219,245616261628.0,53611846604.0,1375724999998.0,2047473750002.0,242849999987.0,3965276858219.0
