row_label_raw,row_label_full,Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,01,956.181.476.546,2.286.154.404.288,numeric__01,numeric__956.181.476.546,numeric__2.286.154.404.288
Khẩu hao,Khẩu hao,Khẩu hao,02,589.746.521.472,538.318.867.482,2.0,589746521472.0,538318867482.0
Các khoản dự phòng,Các khoản dự phòng,Các khoản dự phòng,03,87.291.854.918,22.644.381.396,3.0,87291854918.0,22644381396.0
(Lãi)/lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,(Lãi)/lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,(Lãi)/lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,(1.993.234.264),3.486.129.935,4.0,-1993234264.0,3486129935.0
Lãi từ các hoạt động đầu tư,Lãi từ các hoạt động đầu tư,Lãi từ các hoạt động đầu tư,05,(174.657.573.293),(230.638.693.669),5.0,-174657573293.0,-230638693669.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,06,491.384.792.041,558.191.657.845,6.0,491384792041.0,558191657845.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,1.947.953.837.420,3.178.156.747.277,8.0,1947953837420.0,3178156747277.0
Biến động các khoản phải thu và tài sản ngắn hạn khác,Biến động các khoản phải thu và tài sản ngắn hạn khác,Biến động các khoản phải thu và tài sản ngắn hạn khác,09,127.918.421.801,(232.014.403.545),9.0,127918421801.0,-232014403545.0
Biến động hàng tồn kho,Biến động hàng tồn kho,Biến động hàng tồn kho,10,1.574.551.712.770,(964.117.267.774),10.0,1574551712770.0,-964117267774.0
Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,(1.265.595.626.795),792.084.504.827,11.0,-1265595626795.0,792084504827.0
Biến động chi phí trả trước,Biến động chi phí trả trước,Biến động chi phí trả trước,12,(71.766.290.590),(16.809.165.221),12.0,-71766290590.0,-16809165221.0
,,,,2.313.062.054.606,2.757.300.415.564,,2313062054606.0,2757300415564.0
Tiền lãi vay đã trả,Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(523.641.479.216),(512.253.998.831),14.0,-523641479216.0,-512253998831.0
Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(260.624.163.999),(457.461.056.807),15.0,-260624163999.0,-457461056807.0
Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(1.459.801.147),(396.600.000),17.0,-1459801147.0,-396600000.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,1.527.336.610.244,1.787.188.759.926,20.0,1527336610244.0,1787188759926.0
