row_label_raw,row_label_full,col_0,31/12/2021 > Giá gốc VND,31/12/2021 > Giá trị ghi sở VND,01/01/2021 > Giá gốc VND,01/01/2021 > Giá trị ghi sở VND,numeric__31/12/2021 > Giá gốc VND,numeric__31/12/2021 > Giá trị ghi sở VND,numeric__01/01/2021 > Giá gốc VND,numeric__01/01/2021 > Giá trị ghi sở VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,2.687.992.265.983,2.687.992.265.983,95.000.000.000,95.000.000.000,2687992265983.0,2687992265983.0,95000000000.0,95000000000.0
Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),1.496.900.000.000,1.496.900.000.000,95.000.000.000,95.000.000.000,1496900000000.0,1496900000000.0,95000000000.0,95000000000.0
Trái phiếu (ii),Trái phiếu (ii),Trái phiếu (ii),1.191.092.265.983,1.191.092.265.983,-,-,1191092265983.0,1191092265983.0,,
Dài hạn,Dài hạn,Dài hạn,33.000.000.000,33.000.000.000,38.000.000.000,38.000.000.000,33000000000.0,33000000000.0,38000000000.0,38000000000.0
Trái phiếu (iii),Trái phiếu (iii),Trái phiếu (iii),33.000.000.000,33.000.000.000,38.000.000.000,38.000.000.000,33000000000.0,33000000000.0,38000000000.0,38000000000.0
Cộng,Cộng,Cộng,2.720.992.265.983,2.720.992.265.983,133.000.000.000,133.000.000.000,2720992265983.0,2720992265983.0,133000000000.0,133000000000.0
