row_label_raw,row_label_full,Nhà cửa vật kiến trúc,Máy móc thiết bị,Phương tiện vận tải,Thiết bị quản lý,Tài sản cố định khác,Đơn vị tính: VND Tổng cộng,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị quản lý,numeric__Tài sản cố định khác,numeric__Đơn vị tính: VND Tổng cộng
126.361.244.661,126.361.244.661,126.361.244.661,10.477.929.378,43.040.436.209,6.390.336.616,2.582.189.472,188.852.136.336,10477929378.0,43040436209.0,6390336616.0,2582189472.0,188852136336.0
-,-,-,1.043.090.000,6.493.335.454,141.230.910,-,7.677.656.364,1043090000.0,6493335454.0,141230910.0,,7677656364.0
5.485.995.578,5.485.995.578,5.485.995.578,-,-,-,-,5.485.995.578,,,,,5485995578.0
-,-,-,1.106.142.735,-,(2.019.315.386),913.172.651,-,1106142735.0,,-2019315386.0,913172651.0,
(105.786.137.471),(105.786.137.471),(105.786.137.471),(6.931.230.800),(3.736.739.429),-,(3.064.141.668),(119.518.249.368),-6931230800.0,-3736739429.0,,-3064141668.0,-119518249368.0
26.061.102.768,26.061.102.768,26.061.102.768,5.695.931.313,45.797.032.234,4.512.252.140,431.220.455,82.497.538.910,5695931313.0,45797032234.0,4512252140.0,431220455.0,82497538910.0
44.898.679.224,44.898.679.224,44.898.679.224,9.003.916.900,20.142.388.710,4.706.561.653,2.225.251.071,80.976.797.558,9003916900.0,20142388710.0,4706561653.0,2225251071.0,80976797558.0
1.406.547.669,1.406.547.669,1.406.547.669,667.849.206,3.587.744.363,661.854.001,121.505.492,6.445.500.731,667849206.0,3587744363.0,661854001.0,121505492.0,6445500731.0
3,3,3,1.098.527.594,-,(2.011.700.245),913.172.648,-,1098527594.0,,-2011700245.0,913172648.0,
(34.786.528.631),(34.786.528.631),(34.786.528.631),(6.787.844.117),(3.736.739.429),-,(2.951.180.636),(48.262.292.813),-6787844117.0,-3736739429.0,,-2951180636.0,-48262292813.0
11.518.698.265,11.518.698.265,11.518.698.265,3.982.449.583,19.993.393.644,3.356.715.409,308.748.575,39.160.005.476,3982449583.0,19993393644.0,3356715409.0,308748575.0,39160005476.0
81.462.565.437,81.462.565.437,81.462.565.437,1.474.012.478,22.898.047.499,1.683.774.963,356.938.401,107.875.338.778,1474012478.0,22898047499.0,1683774963.0,356938401.0,107875338778.0
14.542.404.503,14.542.404.503,14.542.404.503,1.713.481.730,25.803.638.590,1.155.536.731,122.471.880,43.337.533.434,1713481730.0,25803638590.0,1155536731.0,122471880.0,43337533434.0
