row_label_raw,row_label_full,col_0,Quyền sử đất và hạ tầng cho thuê,Nhà cửa và vật kiến trúc cho thuê,Tổng cộng,numeric__Quyền sử đất và hạ tầng cho thuê,numeric__Nhà cửa và vật kiến trúc cho thuê,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,144.455.832.878,44.733.677.800,189.189.510.678,144455832878.0,44733677800.0,189189510678.0
Chuyển đi góp vốn,Nguyên giá > Chuyển đi góp vốn,Chuyển đi góp vốn,-,(44.733.677.800),(44.733.677.800),,-44733677800.0,-44733677800.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,144.455.832.878,-,144.455.832.878,144455832878.0,,144455832878.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,34.910.159.586,2.236.683.893,37.146.843.479,34910159586.0,2236683893.0,37146843479.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,2.889.116.652,671.005.170,3.560.121.822,2889116652.0,671005170.0,3560121822.0
Chuyển đi góp vốn,Giá trị hao mòn luỹ kế > Chuyển đi góp vốn,Chuyển đi góp vốn,-,(2.907.689.063),(2.907.689.063),,-2907689063.0,-2907689063.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,37.799.276.238,-,37.799.276.238,37799276238.0,,37799276238.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,109.545.673.292,42.496.993.907,152.042.667.199,109545673292.0,42496993907.0,152042667199.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,106.656.556.640,-,106.656.556.640,106656556640.0,,106656556640.0
