row_label_raw,row_label_full,8. Chi phí quản lý doanh nghiệp,Năm nayVND,Năm trướcVND,numeric__Năm nayVND,numeric__Năm trướcVND
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,52.067.771.557,49.858.715.764,52067771557.0,49858715764.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,4.656.371.174,4.574.189.651,4656371174.0,4574189651.0
Chi phí giao tế,Chi phí giao tế,Chi phí giao tế,11.226.287.101,16.933.856.220,11226287101.0,16933856220.0
Chi phí khác,Chi phí khác,Chi phí khác,47.616.559.849,38.078.710.298,47616559849.0,38078710298.0
Cộng,Cộng,Cộng,115.566.989.681,109.445.471.933,115566989681.0,109445471933.0
