row_label_raw,row_label_full,01/01/2021VND,TăngVND,Giảm/(phân bổ chi phí phát hành trái phiếu)VND,31/12/2021VND,numeric__TăngVND,numeric__Giảm/(phân bổ chi phí phát hành trái phiếu)VND,numeric__31/12/2021VND
-,-,-,3.500.000.000.000(120.700.000.000),-,3.500.000.000.000(112.750.671.885),,,
-,- > -,-,3.379.300.000.000,(7.949.328.115),3.387.249.328.115,3379300000000.0,-7949328115.0,3387249328115.0
