row_label_raw,row_label_full,col_0,col_1,01/01/2021VND,TăngVND,GiảmVND,31/12/2021VND,numeric__col_1,numeric__01/01/2021VND,numeric__TăngVND,numeric__GiảmVND,numeric__31/12/2021VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,472.195.238.584,740.824.361.443,829.889.867.141,383.129.732.886,,472195238584.0,740824361443.0,829889867141.0,383129732886.0
Vay ngắn hàng (Thuyết minh 19.1),Vay ngắn hàng (Thuyết minh 19.1),Vay ngắn hàng (Thuyết minh 19.1),Vay ngắn hàng (Thuyết minh 19.1),129.988.629.617,428.939.676.932,488.939.258.174,69.989.048.375,,129988629617.0,428939676932.0,488939258174.0,69989048375.0
Vay dài hạn đến hạn trả (Thuyết minh 19.2),Vay dài hạn đến hạn trả (Thuyết minh 19.2),Vay dài hạn đến hạn trả (Thuyết minh 19.2),Vay dài hạn đến hạn trả (Thuyết minh 19.2),342.206.608.967,311.884.684.511,340.950.608.967,313.140.684.511,,342206608967.0,311884684511.0,340950608967.0,313140684511.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,811.489.271.511,3.776.390.885.384,303.935.356.396,4.283.944.800.499,,811489271511.0,3776390885384.0,303935356396.0,4283944800499.0
Vay ngắn hàng (Thuyết minh 19.2),Vay ngắn hàng (Thuyết minh 19.2),Vay ngắn hàng (Thuyết minh 19.2),Vay ngắn hàng (Thuyết minh 19.2),811.489.271.511,397.090.885.384,311.884.684.511,896.695.472.384,,811489271511.0,397090885384.0,311884684511.0,896695472384.0
Trái phiếu thường phát hành (Thuyết minh 19.3),Trái phiếu thường phát hành (Thuyết minh 19.3),Trái phiếu thường phát hành (Thuyết minh 19.3),Trái phiếu thường phát hành (Thuyết minh 19.3),-,3.379.300.000.000,(7.949.328.115),3.387.249.328.115,,,3379300000000.0,-7949328115.0,3387249328115.0
Cộng,Cộng,Cộng,Cộng,1.283.684.510.095,4.517.215.246.827,1.133.825.223.537,4.667.074.533.385,,1283684510095.0,4517215246827.0,1133825223537.0,4667074533385.0
19.1. Chi tiết số dư các khoản vay ngắn hạn ngân hàng như sau:,19.1. Chi tiết số dư các khoản vay ngắn hạn ngân hàng như sau:,19.1. Chi tiết số dư các khoản vay ngắn hạn ngân hàng như sau:,19.1. Chi tiết số dư các khoản vay ngắn hạn ngân hàng như sau:,19.1. Chi tiết số dư các khoản vay ngắn hạn ngân hàng như sau:,19.1. Chi tiết số dư các khoản vay ngắn hạn ngân hàng như sau:,19.1. Chi tiết số dư các khoản vay ngắn hạn ngân hàng như sau:,19.1. Chi tiết số dư các khoản vay ngắn hạn ngân hàng như sau:,,,,,
Ngân hàng,Ngân hàng,Ngân hàng,Số dư cuối nămVND,Lãi suất(%/năm),Tài sản đảm bảo,Tài sản đảm bảo,Tài sản đảm bảo,,,,,
Ngân hàng Nông nghiệp và Phát triểnNông thôn Việt Nam - chi nhánh Đồng Nai,Ngân hàng > Ngân hàng Nông nghiệp và Phát triểnNông thôn Việt Nam - chi nhánh Đồng Nai,Ngân hàng Nông nghiệp và Phát triểnNông thôn Việt Nam - chi nhánh Đồng Nai,40.000.000.000,"7,5","12.996,8 m2 đất ở theo GCNQSĐĐ và quyền sở hữu nhà ở và tái sản khác gắn liền với đất số BN981924 do UBND tỉnh Bà Rịa - Vũng Tàu cấp ngày 20/5/2014 với tổng giá trị tài sản thế chấp là 194.952.000.000 đồng.","12.996,8 m2 đất ở theo GCNQSĐĐ và quyền sở hữu nhà ở và tái sản khác gắn liền với đất số BN981924 do UBND tỉnh Bà Rịa - Vũng Tàu cấp ngày 20/5/2014 với tổng giá trị tài sản thế chấp là 194.952.000.000 đồng.","12.996,8 m2 đất ở theo GCNQSĐĐ và quyền sở hữu nhà ở và tái sản khác gắn liền với đất số BN981924 do UBND tỉnh Bà Rịa - Vũng Tàu cấp ngày 20/5/2014 với tổng giá trị tài sản thế chấp là 194.952.000.000 đồng.",40000000000.0,7.5,,,
Ngân hàng TMCP Đầu tư và Phát triểnViệt Nam - chi nhánh Bà Rịa Vũng Tàu,Ngân hàng > Ngân hàng TMCP Đầu tư và Phát triểnViệt Nam - chi nhánh Bà Rịa Vũng Tàu,Ngân hàng TMCP Đầu tư và Phát triểnViệt Nam - chi nhánh Bà Rịa Vũng Tàu,29.989.048.375,"6,5 - 8","Quyền sử dụng đất sản xuất kinh doanh tại phường 5, thành phố Vũng Tàu; tài sản trên đất tại Biệt thư Tiên Sa và Văn phòng làm việc Công ty tại 265 Lê Hồng Phong, thành phố Vũng Tàu với tổng giá trị thế chấp 22.766.000.000 đồng.","Quyền sử dụng đất sản xuất kinh doanh tại phường 5, thành phố Vũng Tàu; tài sản trên đất tại Biệt thư Tiên Sa và Văn phòng làm việc Công ty tại 265 Lê Hồng Phong, thành phố Vũng Tàu với tổng giá trị thế chấp 22.766.000.000 đồng.","Quyền sử dụng đất sản xuất kinh doanh tại phường 5, thành phố Vũng Tàu; tài sản trên đất tại Biệt thư Tiên Sa và Văn phòng làm việc Công ty tại 265 Lê Hồng Phong, thành phố Vũng Tàu với tổng giá trị thế chấp 22.766.000.000 đồng.",29989048375.0,,,,
Cộng,Ngân hàng > Cộng,Cộng,69.989.048.375,,,,,69989048375.0,,,,
