row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.149.436.010.000,208.157.989.707,-,189.048.239.781,549.428.909.079,4.096.071.148.567,3149436010000.0,208157989707.0,,189048239781.0,549428909079.0,4096071148567.0
Phát hành cổ phiếu mới,Phát hành cổ phiếu mới,Phát hành cổ phiếu mới,35.489.500.000,(226.500.000),-,-,-,35.263.000.000,35489500000.0,-226500000.0,,,,35263000000.0
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(90.270.193.851),-,-,(90.270.193.851),,,-90270193851.0,,,-90270193851.0
Bán lại cổ phiếu quỹ,Bán lại cổ phiếu quỹ,Bán lại cổ phiếu quỹ,-,88.604.048.714,90.270.193.851,-,-,178.874.242.565,,88604048714.0,90270193851.0,,,178874242565.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,487.364.672.353,487.364.672.353,,,,,487364672353.0,487364672353.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,23.776.352.701,(23.776.352.701),-,,,,23776352701.0,-23776352701.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,(23.776.352.700),(23.776.352.700),,,,,-23776352700.0,-23776352700.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.184.925.510.000,296.535.538.421,-,212.824.592.482,989.240.876.031,4.683.526.516.934,3184925510000.0,296535538421.0,,212824592482.0,989240876031.0,4683526516934.0
Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),913.984.110.000,-,-,-,(913.984.110.000),-,913984110000.0,,,,-913984110000.0,
Phát hành cổ phiếu người lao động (ii),Phát hành cổ phiếu người lao động (ii),Phát hành cổ phiếu người lao động (ii),150.000.000.000,74.782.000.000,-,-,-,224.782.000.000,150000000000.0,74782000000.0,,,,224782000000.0
Phát hành cổ phiếu riêng lẻ (iii),Phát hành cổ phiếu riêng lẻ (iii),Phát hành cổ phiếu riêng lẻ (iii),750.000.000.000,749.802.000.000,-,-,-,1.499.802.000.000,750000000000.0,749802000000.0,,,,1499802000000.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,988.569.680.575,988.569.680.575,,,,,988569680575.0,988569680575.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,14.620.940.171,(14.620.940.171),-,,,,14620940171.0,-14620940171.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,(34.115.527.064),(34.115.527.064),,,,,-34115527064.0,-34115527064.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,4.998.909.620.000,1.121.119.538.421,-,227.445.532.653,1.015.089.979.371,7.362.564.670.445,4998909620000.0,1121119538421.0,,227445532653.0,1015089979371.0,7362564670445.0
