row_label_raw,row_label_full,Chỉ tiêu,Mã số,Năm nay,Năm trước,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,1.276.804.755.241,612.748.883.828,1.0,1276804755241.0,612748883828.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,
- Khấu hao tài sản cố định,2. Điều chỉnh cho các khoản > - Khấu hao tài sản cố định,- Khấu hao tài sản cố định,02,10.127.595.137,10.502.420.950,2.0,10127595137.0,10502420950.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản > - Các khoản dự phòng,- Các khoản dự phòng,03,(17.307.181.557),253.856.529.420,3.0,-17307181557.0,253856529420.0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","2. Điều chỉnh cho các khoản > - Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,(7.951),(30.967),4.0,-7951.0,-30967.0
"- Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,(838.183.753.636),(551.327.329.515),5.0,-838183753636.0,-551327329515.0
- Chi phí lãi vay và phát hành trái phiếu,2. Điều chỉnh cho các khoản > - Chi phí lãi vay và phát hành trái phiếu,- Chi phí lãi vay và phát hành trái phiếu,06,85.513.770.432,20.558.181.471,6.0,85513770432.0,20558181471.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,516.955.177.666,346.338.655.187,8.0,516955177666.0,346338655187.0
"- Tăng, giảm các khoản phải thu","2. Điều chỉnh cho các khoản > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,(1.876.195.729.592),(271.312.017.202),9.0,-1876195729592.0,-271312017202.0
