row_label_raw,row_label_full,Khoản mục biến động lớn,Giá trị triệu VND,numeric__Giá trị triệu VND
Tăng thu nhập lãi thuần,Tăng thu nhập lãi thuần,Tăng thu nhập lãi thuần,3.364.545,3364545.0
Tăng lãi thuần từ hoạt động dịch vụ,Tăng lãi thuần từ hoạt động dịch vụ,Tăng lãi thuần từ hoạt động dịch vụ,1.430.634,1430634.0
Tăng lãi thuần từ hoạt động kinh doanh ngoại hối,Tăng lãi thuần từ hoạt động kinh doanh ngoại hối,Tăng lãi thuần từ hoạt động kinh doanh ngoại hối,242.796,242796.0
Tăng lãi thuần từ mua bán chứng khoán kinh doanh,Tăng lãi thuần từ mua bán chứng khoán kinh doanh,Tăng lãi thuần từ mua bán chứng khoán kinh doanh,87.839,87839.0
Tăng lãi thuần từ mua bán chứng khoán đầu tư và đầu tư dài hạn,Tăng lãi thuần từ mua bán chứng khoán đầu tư và đầu tư dài hạn,Tăng lãi thuần từ mua bán chứng khoán đầu tư và đầu tư dài hạn,68.205,68205.0
Tăng lãi thuần từ hoạt động khác,Tăng lãi thuần từ hoạt động khác,Tăng lãi thuần từ hoạt động khác,408.005,408005.0
"Tăng thu nhập từ góp vốn, mua cổ phần","Tăng thu nhập từ góp vốn, mua cổ phần","Tăng thu nhập từ góp vốn, mua cổ phần",67.463,67463.0
Tăng chi phí hoạt động,Tăng chi phí hoạt động,Tăng chi phí hoạt động,(2.734.563),-2734563.0
Giảm chi phí dự phòng rủi ro tín dụng,Giảm chi phí dự phòng rủi ro tín dụng,Giảm chi phí dự phòng rủi ro tín dụng,216.723,216723.0
,,,3.151.647,3151647.0
