row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Trong hạn_5,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Trong hạn_5
,,,Trên 3thángtriệu đồng,Đến 3thángtriệu đồng,Đến 1 thángtriệu đồng,Từ 1 đến 3thángtriệu đồng,Từ 3 đến 12thángtriệu đồng,Từ 1 đến 5nàmtriệu đồng,Trên 5 nàmtriệu đồng,Tổng cộngtriệu đồng,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,1.736.571,-,-,-,-,1.736.571,,,1736571.0,,,,,1736571.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,10.548.084,-,-,-,-,10.548.084,,,10548084.0,,,,,10548084.0
Tiền gửi tại và cho vay các TCTDkhác (*),Tài sản > Tiền gửi tại và cho vay các TCTDkhác (*),Tiền gửi tại và cho vay các TCTDkhác (*),196.000,-,35.415.337,3.450.472,5.175.079,1.020.740,-,45.257.628,196000.0,,35415337.0,3450472.0,5175079.0,1020740.0,,45257628.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,684.035,-,-,-,-,684.035,,,684035.0,,,,,684035.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),3.215.059,2.634.718,17.156.972,39.827.712,66.533.103,50.128.429,35.189.965,214.685.958,3215059.0,2634718.0,17156972.0,39827712.0,66533103.0,50128429.0,35189965.0,214685958.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),80.000,-,1.347.186,2.824.740,11.526.412,35.389.742,22.821.468,73.989.548,80000.0,,1347186.0,2824740.0,11526412.0,35389742.0,22821468.0,73989548.0
"Gộp vốn, đầu tư dài hạn (*)","Tài sản > Gộp vốn, đầu tư dài hạn (*)","Gộp vốn, đầu tư dài hạn (*)",-,-,-,-,-,128.440,803.213,931.653,,,,,,128440.0,803213.0,931653.0
Tài sản cố định và Bất động sảnđầu tư,Tài sản > Tài sản cố định và Bất động sảnđầu tư,Tài sản cố định và Bất động sảnđầu tư,-,-,10,-,605,310.668,2.418.844,2.730.127,,,10.0,,605.0,310668.0,2418844.0,2730127.0
