row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2018 triệu đồng,31/12/2017 triệu đồng,numeric__Thuyết minh,numeric__31/12/2018 triệu đồng,numeric__31/12/2017 triệu đồng
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,19,2.632.894,1.847.879,19.0,2632894.0,1847879.0
Tiền gửi và vay các tổ chức tín dụng khác,NỘ PHẢI TRẢ > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,,60.470.881,46.101.157,,60470881.0,46101157.0
Tiền gửi của các tổ chức tín dụng khác,NỘ PHẢI TRẢ > Tiền gửi của các tổ chức tín dụng khác,Tiền gửi của các tổ chức tín dụng khác,20.1,40.692.932,36.212.214,201.0,40692932.0,36212214.0
Vay các tổ chức tín dụng khác,NỘ PHẢI TRẢ > Vay các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,20.2,19.777.949,9.888.943,202.0,19777949.0,9888943.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,21,239.964.318,220.176.022,21.0,239964318.0,220176022.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và các khoản nợ tài chính,Các công cụ tài chính phải sinh và các khoản nợ tài chính,9,5.634,-,9.0,5634.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",22,319.963,297.000,22.0,319963.0,297000.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,23,11.157.638,6.022.222,23.0,11157638.0,6022222.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,,13.600.876,9.832.378,,13600876.0,9832378.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",,2.821.056,2.755.868,,2821056.0,2755868.0
Thuế TNDN hoãn lại phải trả,NỘ PHẢI TRẢ > Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,36.3,16.656,-,363.0,16656.0,
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,24.1,10.763.164,7.076.510,241.0,10763164.0,7076510.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,328.152.204,284.276.658,,328152204.0,284276658.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn của tổ chức tín dụng,VỐN CHỦ SỞ HỮU > Vốn của tổ chức tín dụng,Vốn của tổ chức tín dụng,,21.632.348,18.983.251,,21632348.0,18983251.0
- Vốn điều lệ,VỐN CHỦ SỞ HỮU > - Vốn điều lệ,- Vốn điều lệ,,21.604.514,18.155.054,,21604514.0,18155054.0
- Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > - Thặng dư vốn cổ phần,- Thặng dư vốn cổ phần,,-,828.197,,,828197.0
- Vốn khác,VỐN CHỦ SỞ HỮU > - Vốn khác,- Vốn khác,,27.834,-,,27834.0,
Các quỹ dự trữ,VỐN CHỦ SỞ HỮU > Các quỹ dự trữ,Các quỹ dự trữ,,3.887.135,3.209.154,,3887135.0,3209154.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,7.123.671,5.977.328,,7123671.0,5977328.0
Lợi ích của cổ đông không kiểm soát,VỐN CHỦ SỞ HỮU > Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,,1.529.704,1.431.437,,1529704.0,1431437.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,26,34.172.858,29.601.170,26.0,34172858.0,29601170.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,362.325.062,313.877.828,,362325062.0,313877828.0
