row_label_raw,row_label_full,Tiền gửi tại NHNN Việt Nam (i),31/12/2018triệu đồng > 9.656.880,31/12/2017triệu đồng > 5.466.939,numeric__31/12/2018triệu đồng > 9.656.880,numeric__31/12/2017triệu đồng > 5.466.939
- Bằng VND,- Bằng VND,- Bằng VND,9.218.330,5.466.898,9218330.0,5466898.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,438.550,41,438550.0,41.0
Tiền gửi tại Ngân hàng Nhà nước Lào (ii),Tiền gửi tại Ngân hàng Nhà nước Lào (ii),Tiền gửi tại Ngân hàng Nhà nước Lào (ii),292.892,226.317,292892.0,226317.0
Tiền gửi tại Ngân hàng Quốc gia Campuchia (iii),Tiền gửi tại Ngân hàng Quốc gia Campuchia (iii),Tiền gửi tại Ngân hàng Quốc gia Campuchia (iii),598.312,990.426,598312.0,990426.0
,,,10.548.084,6.683.682,10548084.0,6683682.0
