row_label_raw,row_label_full,col_0,Năm 2018triệu đồng,numeric__Năm 2018triệu đồng
Số dư đầu kỳ,Số dư đầu kỳ,Số dư đầu kỳ,-,
Các khoản chênh lệch tạm thời tính thuế,Số dư đầu kỳ > Các khoản chênh lệch tạm thời tính thuế,Các khoản chênh lệch tạm thời tính thuế,83.282,83282.0
Thuế suất tính thuế hoãn lại trong kỳ hiện hành,Số dư đầu kỳ > Thuế suất tính thuế hoãn lại trong kỳ hiện hành,Thuế suất tính thuế hoãn lại trong kỳ hiện hành,20%,0.2
Chi phí thuế TNDN hoãn lại phát sinh trong kỳ,Số dư đầu kỳ > Chi phí thuế TNDN hoãn lại phát sinh trong kỳ,Chi phí thuế TNDN hoãn lại phát sinh trong kỳ,16.656,16656.0
Số dư cuối kỳ,Số dư đầu kỳ > Số dư cuối kỳ,Số dư cuối kỳ,16.656,16656.0
