row_label_raw,row_label_full,col_0,Quyền sử dụng đấtcó thời hạntriệu đồng,Tổng cộngtriệu đồng,numeric__Quyền sử dụng đấtcó thời hạntriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,155.728,155.728,155728.0,155728.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,6.539,6.539,6539.0,6539.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(61.971),(61.971),-61971.0,-61971.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,100.296,100.296,100296.0,100296.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,6.553,6.553,6553.0,6553.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.948,2.948,2948.0,2948.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(1.988),(1.988),-1988.0,-1988.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,7.513,7.513,7513.0,7513.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,149.175,149.175,149175.0,149175.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,92.783,92.783,92783.0,92783.0
