row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thăng dư vốn cổ phần triệu đồng,Vốn khác (*) triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ khác thuộc VCSH triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Lợi ích cổ đông không kiểm soát triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thăng dư vốn cổ phần triệu đồng,numeric__Vốn khác (*) triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ khác thuộc VCSH triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Lợi ích cổ đông không kiểm soát triệu đồng,numeric__Tổng cộng triệu đồng
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,18.155.054,828.197,-,954.374,1.886.602,368.178,5.977.328,1.431.437,29.601.170,18155054.0,828197.0,,954374.0,1886602.0,368178.0,5977328.0,1431437.0,29601170.0
Lợi nhuận thuần trong kỳ Tăng vốn điều lệ của Ngân hàng và công ty con thông qua chia cổ tức bằng cổ phiếu,Lợi nhuận thuần trong kỳ Tăng vốn điều lệ của Ngân hàng và công ty con thông qua chia cổ tức bằng cổ phiếu,Lợi nhuận thuần trong kỳ Tăng vốn điều lệ của Ngân hàng và công ty con thông qua chia cổ tức bằng cổ phiếu,-,-,-,-,-,-,6.112.714,77.187,6.189.901,,,,,,,6112714.0,77187.0,6189901.0
Lợi nhuận thuần trong kỳ Tăng vốn điều lệ của Ngân hàng và công ty con thông qua chia cổ tức bằng cổ phiếu,Lợi nhuận thuần trong kỳ Tăng vốn điều lệ của Ngân hàng và công ty con thông qua chia cổ tức bằng cổ phiếu,Lợi nhuận thuần trong kỳ Tăng vốn điều lệ của Ngân hàng và công ty con thông qua chia cổ tức bằng cổ phiếu,3.449.460,(828.197),27.834,-,-,-,(2.649.097),306.000,306.000,3449460.0,-828197.0,27834.0,,,,-2649097.0,306000.0,306000.0
Trích lập quỹ trong kỳ,Trích lập quỹ trong kỳ,Trích lập quỹ trong kỳ,-,-,-,218.540,433.320,351.162,(1.003.022),-,-,,,,218540.0,433320.0,351162.0,-1003022.0,,
Giảm do bán MB Land,Giảm do bán MB Land,Giảm do bán MB Land,-,-,-,-,-,(15.317),24.924,(249.449),(239.842),,,,,,-15317.0,24924.0,-249449.0,-239842.0
Sử dụng quỹ trong kỳ Điều chỉnh theo Kiểm toán Nhà nước,Sử dụng quỹ trong kỳ Điều chỉnh theo Kiểm toán Nhà nước,Sử dụng quỹ trong kỳ Điều chỉnh theo Kiểm toán Nhà nước,-,-,-,-,-,(309.695),-,(64),(309.759),,,,,,-309695.0,,-64.0,-309759.0
Sử dụng quỹ trong kỳ Điều chỉnh theo Kiểm toán Nhà nước,Sử dụng quỹ trong kỳ Điều chỉnh theo Kiểm toán Nhà nước,Sử dụng quỹ trong kỳ Điều chỉnh theo Kiểm toán Nhà nước,-,-,-,-,-,-,14.936,-,14.936,,,,,,,14936.0,,14936.0
Chi trả cổ tức bằng tiền trong kỳ Trích quỹ khen thưởng phúc lợi Điều chỉnh của các công ty con theo kết quả kiểm toán năm trước,Chi trả cổ tức bằng tiền trong kỳ Trích quỹ khen thưởng phúc lợi Điều chỉnh của các công ty con theo kết quả kiểm toán năm trước,Chi trả cổ tức bằng tiền trong kỳ Trích quỹ khen thưởng phúc lợi Điều chỉnh của các công ty con theo kết quả kiểm toán năm trước,-,-,-,-,-,-,(1.089.303),(3.289),(1.092.592),,,,,,,-1089303.0,-3289.0,-1092592.0
Chi trả cổ tức bằng tiền trong kỳ Trích quỹ khen thưởng phúc lợi Điều chỉnh của các công ty con theo kết quả kiểm toán năm trước,Chi trả cổ tức bằng tiền trong kỳ Trích quỹ khen thưởng phúc lợi Điều chỉnh của các công ty con theo kết quả kiểm toán năm trước,Chi trả cổ tức bằng tiền trong kỳ Trích quỹ khen thưởng phúc lợi Điều chỉnh của các công ty con theo kết quả kiểm toán năm trước,-,-,-,-,-,-,(270.917),(1.295),(272.212),,,,,,,-270917.0,-1295.0,-272212.0
Chi trả cổ tức bằng tiền trong kỳ Trích quỹ khen thưởng phúc lợi Điều chỉnh của các công ty con theo kết quả kiểm toán năm trước,Chi trả cổ tức bằng tiền trong kỳ Trích quỹ khen thưởng phúc lợi Điều chỉnh của các công ty con theo kết quả kiểm toán năm trước,Chi trả cổ tức bằng tiền trong kỳ Trích quỹ khen thưởng phúc lợi Điều chỉnh của các công ty con theo kết quả kiểm toán năm trước,-,-,-,-,-,-,(23.606),494,(19.943),,,,,,,-23606.0,494.0,-19943.0
Chi trả cổ tức bằng tiền trong kỳ Trích quỹ khen thưởng phúc lợi Điều chỉnh của các công ty con theo kết quả kiểm toán năm trước,Chi trả cổ tức bằng tiền trong kỳ Trích quỹ khen thưởng phúc lợi Điều chỉnh của các công ty con theo kết quả kiểm toán năm trước,Chi trả cổ tức bằng tiền trong kỳ Trích quỹ khen thưởng phúc lợi Điều chỉnh của các công ty con theo kết quả kiểm toán năm trước,-,-,-,(8),(14.853),18.030,29.714,(31.317),(4.801),,,,-8.0,-14853.0,18030.0,29714.0,-31317.0,-4801.0
Chi trả cổ tức bằng tiền trong kỳ Trích quỹ khen thưởng phúc lợi Điều chỉnh của các công ty con theo kết quả kiểm toán năm trước,Chi trả cổ tức bằng tiền trong kỳ Trích quỹ khen thưởng phúc lợi Điều chỉnh của các công ty con theo kết quả kiểm toán năm trước,Chi trả cổ tức bằng tiền trong kỳ Trích quỹ khen thưởng phúc lợi Điều chỉnh của các công ty con theo kết quả kiểm toán năm trước,-,-,-,(508),3.198,(5.888),29.714,(31.317),(4.801),,,,-508.0,3198.0,-5888.0,29714.0,-31317.0,-4801.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,21.604.514,-,27.834,1.172.398,2.308.267,406.470,7.123.671,1.529.704,34.172.858,21604514.0,,27834.0,1172398.0,2308267.0,406470.0,7123671.0,1529704.0,34172858.0
